,titles,companies,jobs
0,Data Scientist,"3.8 ★Amazon– Seattle, WA","Job Description
The Amazon Demand Forecasting team seeks a Data Scientist with strong analytical and communication skills to join our team. We develop sophisticated algorithms that involve learning from large amounts of data, such as prices, promotions, similar products, and a product’s attributes, in order to forecast the demand of over 190 million products world-wide. These forecasts are used to automatically order more than $200 million worth of inventory weekly, establish labor plans for tens of thousands of employees, and predict the company’s financial performance. The work is complex and important to Amazon. With better forecasts we drive down supply chain costs, enabling the offer of lower prices and better in-stock selection for our customers.

In a typical day, you will work closely with talented machine learning scientists, statisticians, software engineers, and business groups. Your work will include cutting edge technologies that enable implementation of sophisticated models on big data. As a successful data scientist in our Demand Forecasting team, you are an analytical problem solver who enjoys diving into data, is excited about investigations and algorithms, can multi-task, and can credibly interface between technical teams and business stakeholders. Your analytical abilities, business understanding, and technical savvy will be used to identify specific and actionable opportunities to solve existing business problems in Demand Forecasting, through collaboration with engineering, research, and business teams. Your expertise in synthesizing and communicating insights and recommendations to audiences of varying levels of technical sophistication will enable you to answer specific business questions and innovate for the future.
Major responsibilities include:

· Translating Demand Forecasting business questions and concerns into specific analytical questions that can be answered with available data using statistical and machine learning methods; working with engineers to produce the required data when it is not available

· Providing feedback to our science and engineering teams on the applicability of technical solutions from the business perspective

· Presenting critical data in a format that is immediately useful to answer questions about the inputs and outputs of Demand Forecasting systems and improving their performance

· Communicating verbally and in writing to business customers with various levels of technical knowledge, educating them about our systems, as well as sharing insights and recommendations

· Improving upon existing Demand Forecasting statistical or machine learning methodologies by developing new data sources, testing model enhancements, running computational experiments, and fine-tuning model parameters for new forecasting models

· Supporting decision making by providing requirements to develop analytic capabilities, platforms, pipelines and metrics then using them to analyze trends and find root causes of forecast inaccuracy

· Formalizing assumptions about how demand forecasts are expected to behave, creating definitions of outliers, developing methods to systematically identify these outliers, and explaining why they are reasonable or identifying fixes for them

· Utilizing code (Python, R, Scala, etc.) for analyzing data and building statistical and machine learning models and algorithms

Amazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation


Basic Qualifications
· Bachelor’s or Master’s degree in a quantitative field such as Statistics, Applied Mathematics, Physics, Engineering, Computer Science, or Economics

· 2+ years of relevant working experience in an analytical role involving data extraction, analysis, and communication

· 2+ years of experience with data querying languages (e.g. SQL, Hadoop/Hive) and statistical/mathematical software (e.g. R, Weka, Matlab, Stata)
Preferred Qualifications
· Experience processing, filtering, and presenting large quantities (Millions to Billions of rows) of data

· Superior verbal and written communication skills with the ability to effectively advocate technical solutions to scientists, engineering teams and business audiences

· Proven ability to convey rigorous technical concepts and considerations to non-experts

· Natural curiosity and desire to learn

· Fluency in a scripting or computing language (e.g. Python, Scala, C++, Java, etc.)

· Depth and breadth in quantitative knowledge. Excellent quantitative modeling, statistical analysis skills and problem-solving skills. Sophisticated user of statistical tools.

· Combination of deep technical skills and business savvy to interface with all levels and disciplines within our and our customer’s organizations

· Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment

· Experience in forecasting and time series is a plus


Apply Now at Amazon"
1,Data Scientist,"3.6 ★Tableau Software– Seattle, Washington","**What youll be doing**The primary focus of the Data Scientist in the Data Science and Engineering group is to influence the long-term direction of our product line using data science and to drive innovation in bringing data science into our product line. To do this, the Data Scientist will partner with teams to solve internal data and analysis problems, building best practices and innovative tools to help scale out the use of data science among teams. **What some of your responsibilities include** * Partner with teams on modeling and analysis problems from transforming problem statements into analysis problems, to working through data modeling and engineering, to analysis and communication of results. * Build up and share best practices for teams working on analytical problems * Use experience gained in the above and expertise in this space to influence our product roadmap, potentially working with prototype engineering team to add additional capabilities to our products to solve more of these problems. **Who you are** * **Educated.** PhD in Statistics or a Statistics-related field ( e.g. econometrics, operations research, machine learning, etc.). Excellent candidates with a Masters degree or education through Data-science bootcamps will also be considered. * **Experienced.** Alternately, 3+ years of work in this space, with deep knowledge of one or more data science platforms, including R or Python/pandas/ scikit -learn. Additional knowledge of other commercial platforms desired. * **Technically Savvy.** Moderate coding ability desired in languages suitable for engineering purposes . * **Knowledgeable.** Familiarity with both purely predictive and interpretable models, including Generalized Linear Models. Ability to walk through modeling problems transforming a problem into a data analysis problem, understanding the caveats, and clearly communicating what the results mean. * **A True Team Player. **Demonstrated self-starter ability, and experience with ambiguity and fast-moving teams. * **You are a Recruiter!** Tableau hires company builders and, in this role, you will be asked to be on the constant lookout for the best talent to bring onboard to help us continue to build one of the best companies in the world! Tableau Software is a company on a mission. We help people see and understand their data. After a highly successful IPO in 2013, Tableau has become a market-defining company in the business intelligence industry. Our culture is casual and high-energy. We are passionate about our product and our mission and we are loyal to each other and our company. We value work/life balance, efficiency, simplicity, freakishly friendly customer service, and making a difference in the world! Tableau Software is an Equal Opportunity Employer."
2,"Data Scientist, Sr.","3.7 ★Seattle Children's Hospital– Seattle, WA","Join our Bioinformatics Delivery Team! Using traditional bioinformatics applications combined with modern BigData technologies, our team enables the Institution to better leverage high throughput genomics analyses to improve patient care and accelerate translational research.

As a Sr. Data Scientist you'll work with developers, analysts, scientists, clinicians, and business owners in a team-driven, agile environment to develop and scale data science results and products. Work alongside clinicians to develop algorithms and models to solve critical health care needs, and provide input into driving business and clinical operations and quality improvement with advanced analytics. Dive deep into vast repositories of structured, unstructured, and streaming data to find the input for models. Create tools and libraries that can leverage products for efficient use across the enterprise and beyond.
Required Education/Experience:
Bachelor’s degree or higher in a STEM or relevant analytical field that demonstrates analytical and technical competency and 5+ years as a Data Scientist or Senior Data Analyst OR a Ph.D. in a STEM or relevant analytical field that demonstrates analytical and technical competency and 2+ years or relevant work or applied research experience in data science
Highly skilled in statistics as well as machine learning/data mining/etc.
Significant experience developing and using statistical models and algorithms to drive business or clinical value
Advanced experience in least one data science language (e.g., R, Python)
Expert in use of data visualization for non-technical audiences
Experience with at least one notable BI reporting tool (e.g., Tableau, QlikView, PowerBI, Business Objects, html/d3)
Experience working with source control tools and version management
Experience in data extraction using SQL
Experience as a member of a delivery team supporting integrated data science products and solutions for a wide range of customer groups."
3,Data Scientist - Risk,"3.3 ★Postmates Inc.– Bellevue, WA","Postmates runs one of the largest marketplaces in the country, connecting consumers, merchants, and Postmates in real-time. Building high powered intelligence atop our large-scale dataset is a serious challenge and we are looking for candidates who are ready to dig in. Postmates isn’t just another ad platform or mobile app for delivering static user generated content: We have real customers paying real money for a real service, all under an hour.
As a Risk Data Scientist, you will help pioneer the future of on-demand fraud prevention and play a key part in Postmates’ risk reduction strategy. You will use your full toolkit -- statistical modeling, machine learning, data mining, software engineering -- to understand the behavior and properties of successful customers and deliveries while detecting and measuring the outliers. You’ll help safeguard the platform from financial fraud, evaluating risk as it happens and working with operations to head it off at the pass. You’ll be resilient and flexible as new fraud schemes challenge your limits.
REQUIREMENTS
2-7 years of applied experience applying theoretical ideas in machine learning, graph theory and statistics to solve designing, delivering, and scaling production fraud detection at scale models.
Extensive experience with data tools -- Python (Pandas, scipy, numpy, scikitlearn etc), R, SQL, Octave.
Ability to own your modeling work from model development all the way to production deployment and after.
Ability to approach questions with a scientific rigor, but can execute pragmatically -- the simplest solution may be the best at times.
A strong communicator. Explaining complex technical concepts to product managers, support, and other engineers shouldn’t be a problem for you.
You are scrappy. You understand the challenges, nuances, and details of working with messy data and if the data doesn’t exist, you go build it.
You love it when things work, you understand that things break, and when things do fail, you dive in to understand the root causes of failure and fix whatever needs work.
BONUS POINTS
2+ years experience building predictive fraud models in the on-demand or digital payments space
A Masters degree (or higher) in a technical field (Statistics, Operations Research, Math, Physics, Engineering …)
Background in Python and previous software engineering experience
A solid math and statistics background
Experience in small start-up environment
BENEFITS
Competitive salary
Generous stock option plan
Medical, dental and vision insurance
Snack filled kitchen
Awesome work environment at a company with a huge vision
Killer office locations in SF and Seattle"
4,Data Scientist I,"3.8 ★Expedia– Bellevue, Washington","Expedia

Who we are

eCP Expedia eCommerce Platform. The eCP organization was built to power the Expedia, Inc.s travel revolution with a premier platform of eCommerce technologies and services operating at global scale. We bring product, technology, and operations together to enable our business to grow and drive innovation.

PI Platform Intelligence. Within eCP, PI is a new team set to deliver Artificial Intelligence (AI) / Machine Learning (ML) Platform, advanced automation and intelligent solutions. We work in start-up fashion, think deep, and code fast. We innovate incrementally, yet relentlessly. PI collaborates with many teams to automate and build intelligence into our travel platforms, through Standards, Open Source, and expandable technology solutions. Our goal is to improve eCommerce platform availability, and provide the best travel experience through using AI/ML.

Job description

Are you passionate about the technology needed to drive a multi-billion dollar business? Do you love building creative, highly-scalable and expansible AI frameworks and solutions? Is working on the next gen intelligent travel platforms to revolutionize the travel experience using AI/ML challenging and attractive to you?

As a Data Scientist within PI, you will work with a dynamic teams of product managers and engineers across multiple organizations to deliver sophisticated, next-gen AI Machine Learning solutions. Your vigorous STEM training and problem-solving skills are particularly important for this job function. You will contribute and make our young team become the industry-leading center of excellence for eCommerce AI and Automation.

Together, we will forge our culture, based on respect, inclusion, and transparency, and we will achieve technical excellence in support of our business.

Responsibilities
You will apply solid coding skills, strong analytical and innovative thinking, AI/ML experience, quickly learn and turn new ideas into working solutions, drive proof of concepts and pilots to accelerate the on boarding of new technologies and solutions.
You will partner with multi-teams for end-to-end transactions, booking, payment, security, operation, data services engineering teams to implement platform intelligence; provide the smart experience for our global travelers; and AI powered supply/demand engine.
You will grow professionally; expand your skills and curiosity; be creative; also help others become their best.
Skills/requirements
Ph.D. in Computer Science or a related quantitative science and engineering fields, such as Artificial Intelligence, Mathematics, Operation Research, Statistics, Electrical Engineering, Engineering Science, System Engineering, Physics, Bioengineering and Biomedical Science.
Understand the concepts and steps involved when working real world big data, from domain specific problem understanding, data preparation, travel related data processing, data integration, data structures for machine learning, data pipelining, data modeling, and AI/ML algorithms; strong software engineering and data science knowledge and skills.
Strong knowledge and experience in database technologies, including SQL and other relational database, non-SQL, and Time Series database.
Knowledge on hands on practice in Java, Python, R, XML/JSON.
Solid knowledge of Machine Learning techniques such as Bayesian methods, clustering, decision trees, random forests, NLP, etc., excellent grasp of statistical concepts and methods.
Understanding of distributed file systems, scalable datastores, distributed computing and related technologies (Spark, Hadoop, etc.); implementation experience of MapReduce techniques, in-memory data processing, etc.
Passion in solving problems and finding patterns and insights within structured and unstructured data.
Pluses
Knowledge and hands-on practice with Neural Networks.
Good industrial internship or academic experience in Data Science.
*LI-PP1

Expedia is committed to creating an inclusive work environment with a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization."
5,Data Scientist,"3.1 ★EagleView Technologies– Bellevue, WA","We are looking for talented Data Scientists to join the Machine Learning & Artificial Intelligence (ML/AI) team. You are a talented data scientist that is tired of applying basic statistical tools to yet another set of KPI’s. You are passionate about deriving creative solutions from imagery using cutting edge computer vision techniques and big data pipelines. You are excited about the analytical potential and challenges associated with processing petabytes of time-series imagery. You are intrigued by being a part of a collaborative team, spearheading ML/AI applications for realizing unprecedented, scalable products.

PRIMARY RESPONSIBLITIES
Help to aggregate, clean, and organize data for machine learning applications
Collaborate with scientists and engineers to develop/scale Python and similar algorithms to cloud environments
Process raster and vector data using Python and OpenCV-like libraries for ingestion into neural nets
Work with the team to develop new techniques and capabilities using machine learning and neural networks
Research and experiment new technologies that can improve algorithm applications
Python, R or similar language
Experience with Amazon AWS or comparable cloud processing
Experience with Linux-based command line environments
SQL knowledge
Experience with Neural Networks & predictive analytics (class projects are fine)
Ability to work independently & excellent communication skills
Minimum BA or BS in computer science, engineering or related field or equivalent work experience
WHAT DOESN’T DESCRIBE YOU:
A desire to only work on things you are most familiar with
Fear of dynamically changing, uncertain, or unestablished requirements
A desire for explicit tasking on a daily basis
EagleView® Technologies offers competitive pay and robust benefit plans along with the opportunity to grow your career in a fast-paced, fun and casual environment.

EagleView and its subsidiaries are committed to leveraging the talent of a diverse workforce to create great opportunities for our business and our people. EOE/AA. Minority/Female/Disability/Veteran."
6,Data Scientist,"3.6 ★TIBCO Software– Seattle, WA, US","Our Data Science team are central to our global strategy. Their work enables our clients to quickly create and deploy solutions that drive innovation, optimise operations, offer insight and drive transformation. Ultimately the team are responsible for enabling our client’s competitiveness by accelerating ROI from any data science initiative with products that transform data into insight.

Operating across sectors and with a high degree independence our data scientists have helped improve performance for F1 teams, built solutions for reducing fraud in financial trading, worked with NASA medical teams, and initiated changes in California traffic laws.

We are looking for a Senior Data Scientist to join our team. You are seeking an opportunity to deliver thought leadership, to challenge and develop both your knowledge as well as our client’s data science capabilities. You will join a team of highly collaborative individuals as a senior team member and play a key role in developing our capability. You will lead client conversations, represent TIBCO at industry events and draw together our TIBCO user community. You will lead technical projects developing analytics deliverables using methods from data mining, machine learning, and statistical modeling. The role can be based in San Francisco or other locations in the western United States.
Customer Engagement through presales support and post-sales consulting projects.
Collaborate across stakeholder team on specific industry knowledge, analytics use cases and customer stories.
Apply techniques such as machine learning, statistical analysis and predictive modeling to deliver business value.
Create re-­usable data models, workflows and test suites in order to streamline project delivery.
Product; providing input into product management and engineering for product roadmap.
Innovation; innovate in the area of application and deployment of machine learning
Tool Kit Development; creating demos and templates.
Technical Marketing; creating white papers, blogs and content for the TIBCO user community.
Represent the team as a speaker or instructor in industry events and external conferences."
7,Senior Data Scientist,"5.0 ★Suplari– Seattle, WA","Our mission at Suplari is to shine the light on waste so that companies can invest in growth, innovation and their people. Suplari’s software leverages machine learning and AI technologies to deliver actionable insights from a company’s spend and procurement data and easily visualizes these tailored recommendations and data trends in a clean, user-friendly interface. Customers realize hard dollar cost savings and effectively manage supplier risk that is often hidden within millions of data points and takes hours of manpower and clunky spreadsheets to uncover.

Suplari is truly making an impact for clients such as Nordstrom, 21st Century Fox, and Sonos, (just to name a few) and we’re just getting started. We’re aiming to “share the wealth” by providing businesses with the tools to reduce spend, mitigate risk and increase compliance, and we need your help!

Job Description

Suplari is seeking a talented Senior Data Scientist to join us at our downtown Seattle HQ.

Do you like focusing on challenging problems and finding creative solutions? Would you like to help create something that makes a difference? Do you like to be part of a fast-growing company and be able to put your mark on something early?

The senior data scientist will design, build, and implement a cloud native, data pipeline including feature extraction, transformation, and data cleansing as well as machine learning algorithms to detect patterns and insights. The result of this data pipeline will be a structured data warehouse used to power the Suplari SaaS application. We are looking for passionate scientists that want to be part of a company that’s going to change the way enterprise businesses interact with their suppliers.

Qualifications

What you'll be doing:
While you don’t need to have experience in every technology we use, as a startup, we do expect you to be comfortable contributing anywhere throughout the stack. Here are some of the heavy-hitters that we rely on daily: R, Python, Javascript, Postgres, Go.
You will work with product management and customer success teams to understand requirements and customer value
Apply statistical analysis & modeling techniques to datasets large and small, advance existing initiatives and open opportunities to pursue new and previously unexplored research topics across a wide variety of industries and domains
Operate and extend the data science platform to deliver production-grade data curation and analysis services
Own end-to-end data workflows and develop deep domain expertise on the underlying actors and behaviors manifested through data
Visualize and explore data sets to enable the ideation and generation of new, predictive feature


What to bring:
Strong coding skills with data-frames are a prerequisite, example platforms include Pandas, R, Matlab, and Apache Spark.
Demonstrated experience highlighting innovation, creativity, and intuition, e.g the ability to laterally identify other sources of useful information and think 'outside the box'
Experience applying statistical methods (distribution analysis, classification, clustering, etc.)
Experience with creating & maintaining training datasets and constantly improving ML algorithms
Experience in any of the following toolkits: NLTK, Stanford-nlp, R, GraphLab
Experience with modern database technologies like Postgres, MongoDB, Dynamo
Experience working with large, semi-structured datasets like legal documents, application logs and product invoices
Rigor in automated testing, continuous integration, DevOps and other engineering best practices.
Agile enough to jump into a broad range of projects.

Education/Training:
MS or PhD in computer science, math or physics.
8 or more years of experience in data analysis or similar role required.

We’d love to hear from you if:
You love being part of a small, dynamic, and agile organization that encourages you to learn and grow
You love finding solutions to interesting problems
You welcome having autonomy with complex tasks
You are passionate about using your experience and expertise to inspire the team

Additional Information

Why Suplari?
Competitive compensation package
Ownership through equity and options
Cool work space with great views and bike storage.
Great coffee and awesome snacks
Early stage company experience
Comprehensive health and dental benefits

Location:
This position will be located in the Seattle area.
We are not interviewing remote employees at this time.

Suplari is an Equal Opportunity Employer!"
8,Data Scientist - Verticals,"4.2 ★Uber– Seattle, Washington, United States","At Uber, we ignite opportunity by setting the world in motion. We take on big problems to help drivers, riders, delivery partners, and eaters get moving in more than 600 cities around the world.

We welcome people from all backgrounds who seek the opportunity to help build a future where everyone and everything can move independently. If you have the curiosity, passion, and collaborative spirit, work with us, and let’s move the world forward, together.

About the Role

The Rider team at Uber is responsible for accelerating demand growth across 600+ cities worldwide. The Data Scientist - Rider role will provide the data expertise as we drive towards enhancing growth and deepening engagement. In this position, you will offer a data-driven perspective and work closely with product, engineering, and marketing. You will be on the forefront of analysis and leverage our data sources to propose new ideas related to every area of our product, including quantifying the value of riders, exploring trends in user behavior, and optimizing features via experimentation. Our team's autonomy gives us the flexibility to focus on the highest-impact projects in this dynamic and challenging role as we bring increasing numbers of users onto the Uber platform.

What you'll do
Leverage data to perform intensive analysis across all areas of our business to drive product development
Design experiments and interpret the results to draw detailed and actionable conclusions
Generate ideas for exploratory analysis to shape future projects and provide recommendations for actions
Perform time-series analyses, hypothesis testing, and causal analyses to statistically assess relative impact and extract trends
Build models to enhance understanding of user behavior and predict future performance of cohorts
Create dashboards and reports to regularly communicate results and monitor key metrics
Present findings to senior management to strengthen business decisions
Collaborate with cross-functional teams across disciplines such as product, engineering, operations, and marketing
What you'll need
Minimum 3 years of experience in a quantitative analysis role
MS or PhD in Math, Economics, Statistics, Engineering, Computer Science, or other quantitative field (advanced degrees are a plus)
SQL skills and the ability to use tools such as Python, R to work efficiently at scale with large data sets
Advanced knowledge of experimentation and statistical methods
Experience in modeling and machine learning
Working knowledge of big data technology
Work closely with cross-functional teams to execute on decisions
Self-driven with the ability to work in a self-guided manner
Superb communication and organization skills
About the Team

The Rider team at Uber is responsible for accelerating growth and deepening engagement across 600+ cities worldwide, with the Verticals team focused specifically on creating a magical experience at Airports, events, and via scheduled rides. The Data Scientist's role will provide the data expertise as we drive towards enhancing growth and deepening engagement."
9,Associate Data Scientist,"4.1 ★ExtraHop Networks, Inc.– Seattle, WA, United States","The ExtraHop platform is a novel approach to processing vast amounts of wire data in real-time. Want to join a collaborative team that builds solutions which provide deep performance insights, behavioral security analyses, and drive business analytics? Keep reading.

Do you like open source tools? Do you like assembling arrays of the latest and greatest technologies in networking/security and performance bench marking to solve difficult problems? Do you like to push systems to their limits to improve their quality? We are looking for people who have passion and expertise in these areas and want to aid our development effort to build one of the most performance and secure systems in the industry.

Duties & Responsibilities
Work closely with engineers throughout the development cycle to reproduce the small and large customer environments under which the ExtraHop system is run.
Employ a mix of manual and automated data analysis techniques to collect data and analyze the operational environment of the ExtraHop system.
Generate gigabits of network traffic on over-the-counter Intel hardware with OSS systems and networking tools for performance benchmarking of the ExtraHop system.
Install, run, and benchmark emerging products and tools in a lab environment to provide product development and product management strategic data.
Required Skills & Experience
Bachelors degree or equivalent experience in computer science, engineering, or information technology
Experience in a Unix-based environment
Solid knowledge of Linux toolchain, Python, JavaScript, and shell scripting
Knowledge of building scalable and high-performance systems
Understanding of various product-development life cycles
Desired Skills & Experience
Solid understanding of the OSI model and excellent working knowledge of the key protocols from Layer 2 through Layer 7 including ARP, IP, TCP, UDP, and HTTP
TCP/IP networking.
Experience using Linux networking tools such as tcpdump, tcpreplay, pcap tools, apache bench, etc.
Experience using and managing virtual infrastructure for VMware, Hyper-V, Xen, and KVM. Experience with OpenStack and related SDN framework a plus.
Familiarity with embedded systems or other syste-ms-level development.
Experience standing up systems using Linux containers, Docker, Puppet, Chef, etc
About ExtraHop

At ExtraHop, we create great products because we give talented employees the freedom to be intellectually curious and creative. We seek a diversity of perspectives and foster employee quirkiness and spunk to help drive innovation. Every ExtraHop employee knows that were all in this together and that work is an important part of life so it should be fun. A sense of humor is required here, seriously!

We are the global leader in real-time wire data analytics, a novel approach to IT Operational Analytics. Our market opportunity is greater than $15B and our solutions span all industries. Pretty neat, huh? If you want to join a fun team that produces award-winning products that provide tremendous business value and delight customers, then ExtraHop is the company for you!

Founded by engineers, ExtraHop is a Seattle-based technology company that delivers elegant solutions for the tech industrys most challenging problems.

As a privately held fast-growing technology leader in the $20B IT operations management space, ExtraHop Networks is positioned to be the next great systems company. We are known as innovators who take a smart, creative approach to solving problems. Our ExtraHop team and product line have received many awards, including wins in multiple categories of Best of Interop, a Gold Medal prize in Puget Sound Business Journals annual list of Washingtons Best Workplaces, and several Gold Stevie American Business Awards.

ExtraHop is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, disability, military status, or national origin or any other characteristic protected under federal, state, or applicable local law."
