,titles,companies,jobs
0,"Data Scientist, Sr.","3.7 ★Seattle Children's Hospital– Seattle, WA","Join our Bioinformatics Delivery Team! Using traditional bioinformatics applications combined with modern BigData technologies, our team enables the Institution to better leverage high throughput genomics analyses to improve patient care and accelerate translational research.

As a Sr. Data Scientist you'll work with developers, analysts, scientists, clinicians, and business owners in a team-driven, agile environment to develop and scale data science results and products. Work alongside clinicians to develop algorithms and models to solve critical health care needs, and provide input into driving business and clinical operations and quality improvement with advanced analytics. Dive deep into vast repositories of structured, unstructured, and streaming data to find the input for models. Create tools and libraries that can leverage products for efficient use across the enterprise and beyond.
Required Education/Experience:
Bachelor’s degree or higher in a STEM or relevant analytical field that demonstrates analytical and technical competency and 5+ years as a Data Scientist or Senior Data Analyst OR a Ph.D. in a STEM or relevant analytical field that demonstrates analytical and technical competency and 2+ years or relevant work or applied research experience in data science
Highly skilled in statistics as well as machine learning/data mining/etc.
Significant experience developing and using statistical models and algorithms to drive business or clinical value
Advanced experience in least one data science language (e.g., R, Python)
Expert in use of data visualization for non-technical audiences
Experience with at least one notable BI reporting tool (e.g., Tableau, QlikView, PowerBI, Business Objects, html/d3)
Experience working with source control tools and version management
Experience in data extraction using SQL
Experience as a member of a delivery team supporting integrated data science products and solutions for a wide range of customer groups."
1,Data Scientist,"3.1 ★EagleView Technologies– Bellevue, WA","We are looking for talented Data Scientists to join the Machine Learning & Artificial Intelligence (ML/AI) team. You are a talented data scientist that is tired of applying basic statistical tools to yet another set of KPI’s. You are passionate about deriving creative solutions from imagery using cutting edge computer vision techniques and big data pipelines. You are excited about the analytical potential and challenges associated with processing petabytes of time-series imagery. You are intrigued by being a part of a collaborative team, spearheading ML/AI applications for realizing unprecedented, scalable products.

PRIMARY RESPONSIBLITIES
Help to aggregate, clean, and organize data for machine learning applications
Collaborate with scientists and engineers to develop/scale Python and similar algorithms to cloud environments
Process raster and vector data using Python and OpenCV-like libraries for ingestion into neural nets
Work with the team to develop new techniques and capabilities using machine learning and neural networks
Research and experiment new technologies that can improve algorithm applications
Python, R or similar language
Experience with Amazon AWS or comparable cloud processing
Experience with Linux-based command line environments
SQL knowledge
Experience with Neural Networks & predictive analytics (class projects are fine)
Ability to work independently & excellent communication skills
Minimum BA or BS in computer science, engineering or related field or equivalent work experience
WHAT DOESN’T DESCRIBE YOU:
A desire to only work on things you are most familiar with
Fear of dynamically changing, uncertain, or unestablished requirements
A desire for explicit tasking on a daily basis
EagleView® Technologies offers competitive pay and robust benefit plans along with the opportunity to grow your career in a fast-paced, fun and casual environment.

EagleView and its subsidiaries are committed to leveraging the talent of a diverse workforce to create great opportunities for our business and our people. EOE/AA. Minority/Female/Disability/Veteran."
2,Senior Data Scientist,"5.0 ★Suplari– Seattle, WA","Our mission at Suplari is to shine the light on waste so that companies can invest in growth, innovation and their people. Suplari’s software leverages machine learning and AI technologies to deliver actionable insights from a company’s spend and procurement data and easily visualizes these tailored recommendations and data trends in a clean, user-friendly interface. Customers realize hard dollar cost savings and effectively manage supplier risk that is often hidden within millions of data points and takes hours of manpower and clunky spreadsheets to uncover.

Suplari is truly making an impact for clients such as Nordstrom, 21st Century Fox, and Sonos, (just to name a few) and we’re just getting started. We’re aiming to “share the wealth” by providing businesses with the tools to reduce spend, mitigate risk and increase compliance, and we need your help!

Job Description

Suplari is seeking a talented Senior Data Scientist to join us at our downtown Seattle HQ.

Do you like focusing on challenging problems and finding creative solutions? Would you like to help create something that makes a difference? Do you like to be part of a fast-growing company and be able to put your mark on something early?

The senior data scientist will design, build, and implement a cloud native, data pipeline including feature extraction, transformation, and data cleansing as well as machine learning algorithms to detect patterns and insights. The result of this data pipeline will be a structured data warehouse used to power the Suplari SaaS application. We are looking for passionate scientists that want to be part of a company that’s going to change the way enterprise businesses interact with their suppliers.

Qualifications

What you'll be doing:
While you don’t need to have experience in every technology we use, as a startup, we do expect you to be comfortable contributing anywhere throughout the stack. Here are some of the heavy-hitters that we rely on daily: R, Python, Javascript, Postgres, Go.
You will work with product management and customer success teams to understand requirements and customer value
Apply statistical analysis & modeling techniques to datasets large and small, advance existing initiatives and open opportunities to pursue new and previously unexplored research topics across a wide variety of industries and domains
Operate and extend the data science platform to deliver production-grade data curation and analysis services
Own end-to-end data workflows and develop deep domain expertise on the underlying actors and behaviors manifested through data
Visualize and explore data sets to enable the ideation and generation of new, predictive feature


What to bring:
Strong coding skills with data-frames are a prerequisite, example platforms include Pandas, R, Matlab, and Apache Spark.
Demonstrated experience highlighting innovation, creativity, and intuition, e.g the ability to laterally identify other sources of useful information and think 'outside the box'
Experience applying statistical methods (distribution analysis, classification, clustering, etc.)
Experience with creating & maintaining training datasets and constantly improving ML algorithms
Experience in any of the following toolkits: NLTK, Stanford-nlp, R, GraphLab
Experience with modern database technologies like Postgres, MongoDB, Dynamo
Experience working with large, semi-structured datasets like legal documents, application logs and product invoices
Rigor in automated testing, continuous integration, DevOps and other engineering best practices.
Agile enough to jump into a broad range of projects.

Education/Training:
MS or PhD in computer science, math or physics.
8 or more years of experience in data analysis or similar role required.

We’d love to hear from you if:
You love being part of a small, dynamic, and agile organization that encourages you to learn and grow
You love finding solutions to interesting problems
You welcome having autonomy with complex tasks
You are passionate about using your experience and expertise to inspire the team

Additional Information

Why Suplari?
Competitive compensation package
Ownership through equity and options
Cool work space with great views and bike storage.
Great coffee and awesome snacks
Early stage company experience
Comprehensive health and dental benefits

Location:
This position will be located in the Seattle area.
We are not interviewing remote employees at this time.

Suplari is an Equal Opportunity Employer!"
3,Data Scientist,"3.6 ★TIBCO Software– Seattle, WA, US","Our Data Science team are central to our global strategy. Their work enables our clients to quickly create and deploy solutions that drive innovation, optimise operations, offer insight and drive transformation. Ultimately the team are responsible for enabling our client’s competitiveness by accelerating ROI from any data science initiative with products that transform data into insight.

Operating across sectors and with a high degree independence our data scientists have helped improve performance for F1 teams, built solutions for reducing fraud in financial trading, worked with NASA medical teams, and initiated changes in California traffic laws.

We are looking for a Senior Data Scientist to join our team. You are seeking an opportunity to deliver thought leadership, to challenge and develop both your knowledge as well as our client’s data science capabilities. You will join a team of highly collaborative individuals as a senior team member and play a key role in developing our capability. You will lead client conversations, represent TIBCO at industry events and draw together our TIBCO user community. You will lead technical projects developing analytics deliverables using methods from data mining, machine learning, and statistical modeling. The role can be based in San Francisco or other locations in the western United States.
Customer Engagement through presales support and post-sales consulting projects.
Collaborate across stakeholder team on specific industry knowledge, analytics use cases and customer stories.
Apply techniques such as machine learning, statistical analysis and predictive modeling to deliver business value.
Create re-­usable data models, workflows and test suites in order to streamline project delivery.
Product; providing input into product management and engineering for product roadmap.
Innovation; innovate in the area of application and deployment of machine learning
Tool Kit Development; creating demos and templates.
Technical Marketing; creating white papers, blogs and content for the TIBCO user community.
Represent the team as a speaker or instructor in industry events and external conferences."
4,Associate Data Scientist,"4.1 ★ExtraHop Networks, Inc.– Seattle, WA, United States","The ExtraHop platform is a novel approach to processing vast amounts of wire data in real-time. Want to join a collaborative team that builds solutions which provide deep performance insights, behavioral security analyses, and drive business analytics? Keep reading.

Do you like open source tools? Do you like assembling arrays of the latest and greatest technologies in networking/security and performance bench marking to solve difficult problems? Do you like to push systems to their limits to improve their quality? We are looking for people who have passion and expertise in these areas and want to aid our development effort to build one of the most performance and secure systems in the industry.

Duties & Responsibilities
Work closely with engineers throughout the development cycle to reproduce the small and large customer environments under which the ExtraHop system is run.
Employ a mix of manual and automated data analysis techniques to collect data and analyze the operational environment of the ExtraHop system.
Generate gigabits of network traffic on over-the-counter Intel hardware with OSS systems and networking tools for performance benchmarking of the ExtraHop system.
Install, run, and benchmark emerging products and tools in a lab environment to provide product development and product management strategic data.
Required Skills & Experience
Bachelors degree or equivalent experience in computer science, engineering, or information technology
Experience in a Unix-based environment
Solid knowledge of Linux toolchain, Python, JavaScript, and shell scripting
Knowledge of building scalable and high-performance systems
Understanding of various product-development life cycles
Desired Skills & Experience
Solid understanding of the OSI model and excellent working knowledge of the key protocols from Layer 2 through Layer 7 including ARP, IP, TCP, UDP, and HTTP
TCP/IP networking.
Experience using Linux networking tools such as tcpdump, tcpreplay, pcap tools, apache bench, etc.
Experience using and managing virtual infrastructure for VMware, Hyper-V, Xen, and KVM. Experience with OpenStack and related SDN framework a plus.
Familiarity with embedded systems or other syste-ms-level development.
Experience standing up systems using Linux containers, Docker, Puppet, Chef, etc
About ExtraHop

At ExtraHop, we create great products because we give talented employees the freedom to be intellectually curious and creative. We seek a diversity of perspectives and foster employee quirkiness and spunk to help drive innovation. Every ExtraHop employee knows that were all in this together and that work is an important part of life so it should be fun. A sense of humor is required here, seriously!

We are the global leader in real-time wire data analytics, a novel approach to IT Operational Analytics. Our market opportunity is greater than $15B and our solutions span all industries. Pretty neat, huh? If you want to join a fun team that produces award-winning products that provide tremendous business value and delight customers, then ExtraHop is the company for you!

Founded by engineers, ExtraHop is a Seattle-based technology company that delivers elegant solutions for the tech industrys most challenging problems.

As a privately held fast-growing technology leader in the $20B IT operations management space, ExtraHop Networks is positioned to be the next great systems company. We are known as innovators who take a smart, creative approach to solving problems. Our ExtraHop team and product line have received many awards, including wins in multiple categories of Best of Interop, a Gold Medal prize in Puget Sound Business Journals annual list of Washingtons Best Workplaces, and several Gold Stevie American Business Awards.

ExtraHop is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, disability, military status, or national origin or any other characteristic protected under federal, state, or applicable local law."
5,"Scientist, Formulations, Viral Vector Process Development","4.0 ★Juno Therapeutics– Seattle, WA, United States","Juno is seeking an enthusiastic, self-driven individual to join the viral vector and gene editing team to perform formulation development for critical raw materials used in the manufacturing of engineered T cells, including viral vector. The primary focus of this Scientist is to lead in the formulation development activities for clinical and/or commercial viral vectors, as well as contributing to the high-level strategies and platforms for viral vector process development. This position will be responsible for communicating to internal and external collaborators, making sure all relevant stakeholders are informed about the data and status of development timelines.
Lead the formulation development for Juno’s viral vectors with an eventual development plan to lead a small team as the viral vector/gene editing pipeline expands
Represent viral vector formulation development at CMC and cross-functional team meetings.
Support tech transfer and on-going activities with external collaborators and service providers (CMOs, CROs)
Hands-on experimental work in the development and optimization of formulations
Assist in the creation of next-generation technologies and platforms for viral vector and gene editing
Author technical reports, patents, and peer-reviewed publications
Basic Qualifications:
0-2 years expertise in developing clinical and commercial formulations for globally-regulated products, such as vaccines, biologics, or cell & gene therapies.
Proven ability to work in a fast-paced multi-product matrixed environment.
Demonstrated independence in experimental design, data analysis, interpretation and presentation.
Effective communication including presentations to convey scientific concepts to research scientists, management teams, and external academic and industrial organizations.
Education:
D in Biochemistry, Bioengineering, or equivalent experience.
Bachelors in Biochemistry, Bioengineering with 10+ years of relevant experience
Preferred Qualifications:
Experience in the development formulation for viral vectors
Prior success in managing small, high performing teams
Experience in authoring regulatory documents, including IND and BLA filings
Proven track record of high-quality external presentations and peer-reviewed publications
Knowledge of immunotherapy preferred"
6,Machine Learning Scientist,"3.9 ★Versive– Seattle, WA","The Role:

At Versive, we want to cut through the hype and overblown claims surrounding AI and ML and help our customers successfully tackle their biggest challenges. We built our own proprietary machine learning platform on top of open-source distributed computing technologies such as Apache Spark to provide automated and explainable artificial intelligence-driven solutions to our customers. As a Machine Learning Scientist, you will continue to advance our platform for cyber, and apply it to problem spaces beyond cybersecurity.

What you will do:
Full-cycle delivery: Understand the problem; generate ideas; prove the idea works; build the solution as production software; assist with deployment to customers.
Machine Learning: Use your expertise in statistics and machine learning to analyze massive, messy real-world data sets and then create solutions that are general, repeatable, and automated.
Quality Software: Make it easy to get high quality, automated, results --- without expert intervention. Build scalable products and reusable libraries in Python, Scala, and C++, taking advantage of Spark, Hadoop, and other tool stacks as appropriate.
Story telling: Present findings (e.g., experiments, forecasts, cost-benefit analysis) and business recommendations to stakeholders, internal and external, with quantitative information.
Interact cross-functionally: Work with people across teams to find creative solutions and deliver them.
What you will bring:
PhD. in Computer Science, Mathematics, Electrical Engineering, Statistics or related field, with a focus on Machine Learning, and relevant work or internship experience
OR
M.S. AND 3 + years of applied machine learning at scale preferably using Python, Scala, Java, or C++
CS fundamentals: You have earned at least a B.S. in Computer Science, Computer Engineering, or related degree and you have a strong ethos of continuous learning.
Relevant Experience: You have a proven track record of delivering machine learning products that solve real customer problems.
Design and execution: You are comfortable with a wide set of machine learning approaches and designing the features and data processing to actually make them work.
About Versive

Click here to learn about Versive!

Benefits
Competitive base salary and generous equity.
Full medical/dental/vision package.
Additional benefits that support commuting, day care, medical and retirement savings
Flexible vacation policy and paid holiday schedule.
Perks
High impact work that helps shape the strategic direction of the company.
Sharp, motivated co-workers in a fast-paced office environment downtown Seattle.
Fully stocked kitchen and lunches are provided regularly throughout the week.
Other Stuff
Valid Work Authorization Required
Travel: Ability to travel.
Equal Opportunity: We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Recruiters, please do not contact."
7,Data Scientist I,4.5 ★PagerDuty– Seattle,"At PagerDuty, we believe that people do their best in a culture that fosters inclusion, innovation, and success. Our values - Community, Growth, Passion, Team and Trust - serve as the foundation of our collaborative and dynamic culture. Whether its conducting a retrospective, participating in our monthly Hackdays, cranking out a new product feature, supporting our two PagerDuty bands, or doing our day to day work, Dutonians live and breathe these five values every day. Together, we solve real customer issues and fulfill our mission of connecting teams to real-time opportunities and elevate work to the outcomes that matter.

Why We Need You
At PagerDuty, we are building an alerting and incident tracking system to help IT operations groups detect and respond to issues. Startups, Fortune 500 companies, and everything in-between rely on us to alert them quickly when they have operational troubles.

We?re looking to give our customers insights into their entire response footprint, and we?re retaining an amazing team to conceptualize, design, build and deliver our vision of an autonomous, intelligent incident management framework.
How You Contribute to Our Vision
Our Machine Learning team is a small, talented, highly focused team. The entire team is part of the product development process from ideation to design, prototyping, planning, and execution.
As one of our data scientists, you will design and build algorithms that will live in our fast, scalable, and durable data incident and event pipelines. You will work with our data engineers to define of our APIs, data pipelines and feature extraction, and will design, develop and deliver innovative algorithms for our customers using these infrastructure and data.

You will work alongside our Data Engineers and Machine Learning Software Engineers to turn your machine learning dreams into solutions on one of the most reliable high speed incident management systems in the world.
About You
You enjoy working in a highly varied, research oriented culture. You are a communicator, and are an evangelist for Artificial Intelligence, Machine Learning and Computational Statistics. You are passionate about new techniques, and love learning new things, but also have the discipline and rigour needed to take research to production. You enjoy small, focused teams, and are comfortable working with distributed teams. You are eager to communicate your results, and have a passion for delving deep into problems others shy away from.
More specifically:
You have 2+ years of quantitative analysis experience as an engineer, product owner or mathematician.
You understand the principles behind clustering, unsupervised learning and anomaly detection.
You have or you are excited about developing custom machine learning solutions.
You have prior programming experience with Python, R, Ruby, Scala, or all of the above.
You write clean object-oriented code, and you know how to hack together an API.
You know and have worked with popular, off-the-shelf machine learning (e.g., scikit-learn) libraries and time series data.
You know SQL.
You love the process of iterating on a product to continuously improve it.
You think creatively about solutions.
You may also have
We are looking for leads as well as pure individual contributors. We are open to candidates with no prior experience leading the development of a machine learning product, but who are excited and motivated in learning the ropes.
If you?ve worked with statistical packages and solutions like R, SAS, S+ or others, let us know!
We love leads who have experience with Artificial Intelligence, Natural Language Processing and Deep Learning!
Benefits to Get Excited About
Competitive salaries and company equity
Comprehensive benefits package including: medical, dental, and vision plans for you, your spouse and family; 401K, pre-tax commuter benefits, corporate discounts, cell phone allowance and more!
Generous paid vacation (3 weeks vacation your first year, 4 weeks afterwards) in addition to 12 paid holidays and ample sick leave.
Monthly company wide hack days
Catered lunch daily, breakfast on Wednesdays, and plenty of snacks and drinks
Convenient office location in SoMa tech hub ? accessible by BART, Muni and CalTrain
About Us
PagerDuty is the leading digital operations management platform for businesses. Our SaaS-based solution empowers over 8,000 small, mid-size and enterprise global customers such as Comcast, eHarmony, Slack and Lululemon with the insight to intelligently respond to critical disruptions for exceptional customer experience. PagerDuty was founded to deliver a new and innovative approach to increase business response and efficiency. We follow agile methodology to build software that enables full-stack event intelligence, response orchestration, continuous learning and delivery, and facilitate the journey towards improved application, system, and service performance and availability. When brand reputation depends on customer satisfaction, PagerDuty arms businesses with the insight to proactively manage incidents and events that may impact customers across your IT environment. We were recently included in the 2016 Deloitte Technology Fast 500, Inc. 500 and Forbes Cloud 100 lists.
PagerDuty offers:
Competitive salaries and company equity
Comprehensive benefits package including: medical, dental, and vision plans for you, your spouse and family
401K, pre-tax commuter benefits, corporate discounts, cell phone allowance and more!
Generous parental leave, paid vacation (3 weeks vacation your first year, 4 weeks afterwards) in addition to 12 paid holidays and ample sick leave
Paid employee Volunteer Time - 20 hours per year!
Monthly company wide hack days

PagerDuty is committed to creating a diverse environment and is an equal opportunity employer. PagerDuty does not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, parental status, veteran status, or disability status.

PagerDuty is committed to providing reasonable accommodations for qualified individuals with disabilities in our job application process. Should you require accommodation, please email accommodation@pagerduty.com and we will work with you to meet your accessibility needs.

Our stewardship of the data of many thousands of customers means that a background check is required to join PagerDuty. We will, nonetheless, consider for employment qualified applicants with arrest and conviction records in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance.

PagerDuty uses the E-Verify employment verification program."
8,Data Scientist,"4.5 ★H10 Capital– Seattle, WA","Job Description
Our Telecommunications client is looking for a qualified candidate for the following role:

**************************************************************************************************

Title: Data Scientist

Duration: 3+ Months with high potential/intent for conversion to FTE

Summary - Must Haves
Fluent in SQL (3-5 years’ experience)
Experience building regression models w/ statistical tools (R, SAS, Python)
Naturally curious, open to change and doesn’t need to be told what to do
Summary- Nice to Haves
Previous experience working in Telecom
Previous experience working with datasets in numerous verticals (Telecom, E-Commerce, Marketing data, etc.)
Ability to build dashboards in Tableau, Power BI
Comprehensive professional service provider spanning technology, process and management in the Marketing organization.

- Assist the marketing organization with data science supporting quality management.

- Assist with building metrics and conduct deep analysis on the value and quality of company's marketing initiatives.

- Help drive the definition and creation of key performance indicators

- Construct executive level presentations and present complex analytical findings in clear, concise, and decision-impacting manner

- Execute on high profile analysis and deliver data narratives across business groups

Qualifications:

- Fluent in SQL and comfortable with querying large databases

- Experience with statistical packages (R, SAS, Python)

- Experience defining efficiency and channel-level key performance indicators that are linked to enterprise level goals

- Excellent prioritization skills, self-motivation and the capacity to work under tight deadlines

- Willingness to learn and develop analytical skills in a fast growing and dynamic business

- Experience with Adobe Data Workbench and Adobe Audience Manager
Company Description
We're a staffing agency specializing in contract and contract-to-hire positions in the Greater Seattle Area. One of the things we pride ourselves in is only sourcing from the Greater Seattle area as well. This allows us to go to our clients we work with and tell them that you're ready to work within a 2 weeks notice. No moving relocation fees are necessary. The two companies that we primarily deal with, and who we are also preferred vendors for are Microsoft and Amazon.

Often times we hear that people feel like their resumes go into this void and they never get contacted. Come work with us and we'll help you get that foot in the door!"
9,Data Scientist,2.7 ★Rakuten– Seattle,"We are looking for an experienced data scientist to help extend the capabilities of our product catalog platform. This is an opportunity to apply advanced ML techniques and make a difference to one of the largest product catalogs in the world.
Key Responsibilities:

• Data mining using off the shelf and researched methods
• Design and maintain highly scalable data systems (Hadoop, Spark, TensorFlow)
• Work with engineers to bring research prototypes into production to perform at massive scale
• Design and develop ML solutions for entity extraction, taxonomy generation and product classification using text and image-bases features.
• Selecting features, building and optimizing machine learning models
• Processing, cleansing, and verifying the integrity of data used for analysis
• Doing ad-hoc analysis and presenting results in a clear manner
Required Skills:

• 1+ years of software development
• 5+ years of data science work
• Strong communication skills
• Proficient with SQL or variants
• Data-oriented personality
• Can work closely with engineers, data scientists and researchers
• Excellent understanding of common machine learning techniques
• Highly Experienced with at least one data science toolkit
• Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Preferred Skills:

• Knowledge of graph-based models a plus
• Solid engineering and design skills
• Strong knowledge of Spark
• Experience with data visualization tools, such as D3.js, GGplot, or matplotlib etc.
• Good scripting and programming skills Java or Scala preferred"
