,jobs,labels
0,"Glowforge is a beautiful device that sits on your desk. It uses a laser to carve and engrave products from raw materials like wood, leather, acrylic – even cardboard.
There is an incredible demand for what we’re creating. It’s not a geeky tool for the tech elite or a garage workshop; we’re crafting an iconic product that is going to change the way people think about creativity. Our customers include consumers, digital designers, crafters, engineers, teachers, artists, and more. It’s already the biggest crowdfunding campaign in history, and now that it’s available at retail, the fun is really starting.
This is a full-time role in Seattle, and we are happy to help new employees relocate to this beautiful city.
Why We Need You
We have the best customers, and our company is going to succeed or fail based on the experience they have with their Glowforge. When customers are thinking about purchasing a Glowforge printer, Proofgrade Materials, or a Design, they reach out us. When they have great things to say, they let us know. When they experience a challenge, they’ll come to us expecting us to make it right. That’s where you come in. You are their hero. You’re the one who gets them through when they’re stuck, turns failures into successes, and makes our company’s passion for our customers real for each and every person who reaches out.
Here’s what you’ll be doing
This is a full-time role in Seattle, and we are happy to help new employees relocate to this beautiful city.
You’re going to answer questions from before purchase through to printing success or, occasionally, warranty return. You’ll spend most of your time troubleshooting new or difficult issues for our customers. You’ll pride yourself on your empathy, patience, and creative problem-solving skills. Laser aficionados and newbies alike will be delighted to talk to you and rave to their friends about the top-notch customer service you provide.
In between customer interactions, you’ll notice patterns and come up with ideas about what we can do to improve. You’ll help us tune our processes to make things perfect for our customers.
Learning really, really fast. You don’t know how Glowforge hardware or software works, and that’s OK. We’ll teach you! You’ll learn, and then teach our customers.
Troubleshooting for our customers — Why hasn’t their shipment arrived? Why didn’t their purchase go through? Why did that thing not work for them?
Answering tickets about Glowforge software, hardware, materials and designs, shipping, account administration, how to design for the Glowforge, and more.
Paying attention to what our customers are thrilled and bothered by, and using that help our team improve our process and our product.
Keeping a positive disposition and level head even during the worst of times - late on a holiday when someone’s rightfully upset because something’s broken, and you’re the only one they have to talk to about it.
You need these qualifications
You have professional experience working closely with a variety of people helping them solve their problems.
You’re a tenacious troubleshooter, comfortable diving into data or dialing strangers to delve into the unknown. You’re organized, insightful, and undaunted by conflicting priorities.
You love helping people, and are fast, thoughtful, and efficient about how you do it.
You write well, communicate clearly, and listen like a champion.
You’re available to work late hours and holidays during peak periods.
You love making things with your hands - 3D printing, knitting, woodworking, furniture building, doesn’t matter what.
It would be nice if…
You’ve supported customers in a high-performance, adaptable customer service, technical support or help desk team.
You’re an experienced technical writer or community manager
You’re experienced with one or more design tools like Illustrator, Photoshop, Inkscape, or CAD programs.
You have a four-year degree or equivalent experience
You have examples of your support experience - for example, a manual you’ve written or public posts on a support board
You have experience at a small company like a tech startup.
Please send us your resume, and – more importantly – a cover letter that tells us about your interest here. If you have public examples of your writing, like a blog or website, please send us a link to those too. We’re excited to meet you!
One more, very important thing: we are an equal opportunity employer and value diversity at our company. We’re strongly committed to providing equal employment opportunity for all employees and all applicants for employment. For us, this is the only acceptable way to do business.",0.0
1,"Collaborate with our customers and internal departments to provide outstanding customer service and help leverage the use of Shiftboard products for maximum impact. The position is for an evening shift from noon to 9 pm and includes a weekend call rotation.

Who were looking for

The next member of our outstanding customer success team has a passion for helping customers solve challenges and achieve their best work.

What youll do
Use logic and skills/training to properly perform software troubleshooting
Analyzes root causes and resolves issues
Respond to customer requests escalated from Tier 1 customer support and provide guidance on complex customer issues
Answer technical questions, solve technical problems, and suggest appropriate workarounds
Resolve customer service issues and skillfully manage complex customer service problems
Manage customer expectations and experience in a way that results in high customer satisfaction
Consistently meet and maintain department standards and goals
Define and describe technical best practices
Configure and customize new Shiftboard sites and understand and configure interfaces to third-party applications
Guide new customers through a tailored implementation process
Develop and maintain strong relationships with associates and clients to ensure maximum satisfaction and retention levels
Become an expert in the features, benefits, and implementation of Shiftboard
Skills youll need
2+ years of prior experience in customer support, preferably in a high-tech SaaS industry
2+ years software application implementation experience, preferably within a SaaS environment
Experience with Salesforce.com and/or CRM applications
Fanatical commitment to customer success and knowledge of customer service principles and practices
Strong technical aptitude with a desire for continuous learning and improvement
Experience configuring and troubleshooting software and peripherals
Demonstrated analysis, problem-solving, and troubleshooting expertise
Ability to effectively prioritize and escalate customer issues as necessary
Excellent written and verbal communication skills, particularly as it relates to technical concepts
Ability to multi-task and perform effectively under pressure
What youll get
Competitive salary
Ownership opportunity: Employee stock option program
Healthcare: Medical/dental/vision benefits
Transportation benefit: Choice of ORCA card or monthly subsidy
401(k)
Unlimited PTO
Ten paid holidays
Career advancement opportunities (We are growing!)
All the equipment youll need to be successful, including MacBook your first day
Who we are

Shiftboard is a cloud-based scheduling and workforce management solution for organizations with shift-based workforces. Simply put, we automate the complexities of scheduling hourly workers by integrating staff information, scheduling demands, and communication tools into one solution. We help companies around the world overcome the complexities of staff scheduling and people management with our revolutionary scheduling solution.

In our constant pursuit to better serve our customers, all of our team members bring creativity, pragmatism, and intellectual rigor to their responsibilities. We have high expectations of each other and work as a team to continually improve on our industry-leading platform. Our growth mindset, coupled with execution, has allowed Shiftboard to create a revolutionary product.

Shiftboard seeks to make every employee feel appreciated. In addition to a competitive salary and benefits package, we offer an employee stock option program, unlimited paid time off, a business casual dress code, and an open communication policy. We are expanding rapidly and the time to get in on the ground floor is now. If you appreciate being challenged to do your best work, making a difference every day through innovation and commitment to customers, and copious amounts of free food, please take the time to send us your resume!",0.0
2,"The Customer Success Team works cooperatively with other departments to improve the client experience, retain existing customers, and garner important feedback.

Who we're looking for

The next member of our outstanding customer success team! You will act as a liaison between the customer, sales, support, and product management to ensure the success of new and existing clients.

Customer Success leads the onboarding process and establishes long-term relationships with new clients. You will understand our customers' business goals for the project, envision and provide a relevant solution design that encapsulates industry best practices, and follow a defined implementation process that consistently delivers on implementation milestones and target completion dates.

Customer Success also is responsible for proactively checking in with a large book of existing clients. This entails answering technical and non-technical customer inquiries, providing additional training, communicating system improvements, and managing feedback. You will have the ability to grow your role by contributing to help documentation, expanding our social media presence, writing articles for our blog, and taking advantage of other opportunities as they arise.

What you'll do
Manage projects to create implementation work-plans, facilitate status calls that drive completion of project milestones, and provide project progress reporting
Uncover, analyze, and comprehend a variety of system requirements requiring review and consideration of multiple business priorities
Advise customers on solution features, configuration options, and system processes and procedures
Configure and customize new Shiftboard sites, as well as understand and configure interfaces to third-party applications
Onboard clients, including conducting effective training calls and/or visits with clients and guiding them through a tailored implementation process
Provide consultative guidance and dynamic solutions for any issues that arise
Provide proactive outreach at all stages of the customer lifecycle
Identify, prioritize, and resolve client issues/concerns; coordinate with appropriate internal departments to provide response and/or solutions
Develop and maintain strong relationships with associates and clients to ensure maximum satisfaction and retention levels
Participate in weekend after-hours support standby rotation program
Become an expert in the features, benefits, and implementation of Shiftboard
Skills you'll need
Bachelor's degree preferred though previous experience in a related role with increasing responsibility may be considered as an appropriate substitution
One or more years of experience managing software implementation projects
Two or more years software application implementation experience in a consultative role, preferably within a SaaS environment
Experience with Salesforce (or other CRM) desired
Experience in the Workforce Management domain preferred
Ability to travel (job requires up to 30% travel)
Must be personable, communicate complex ideas clearly over the phone, and enjoy working with people in an entirely customer-facing role
Organized, detail-oriented, and able to manage many clients at once
Demonstrated ability to work both collaboratively as part of a team and independently with minimal supervision
Strong problem resolution skills and proven ability to engage and interact with internal teams to resolve client issues
Work logically to diagnose and resolve basic to intermediate issues and recognize circumstances that require escalation
Comfortable using and learning software, including MS Office (Excel), multiple internet browsers, ticketing/tracking systems
What youll get
Competitive salary
Ownership opportunity: Employee stock option program
Healthcare: Medical/dental/vision benefits
Transportation benefit: Choice of ORCA card or monthly subsidy
401(k)
Unlimited PTO
Ten paid holidays
Career advancement opportunities (We are growing!)
All the equipment youll need to be successful, including MacBook your first day
Who we are

Shiftboard is a cloud-based scheduling and workforce management solution for organizations with shift-based workforces. Simply put, we automate the complexities of scheduling hourly workers by integrating staff information, scheduling demands, and communication tools into one solution. We help companies around the world overcome the complexities of staff scheduling and people management with our revolutionary scheduling solution.

In our constant pursuit to better serve our customers, all of our team members bring creativity, pragmatism, and intellectual rigor to their responsibilities. We have high expectations of each other and work as a team to continually improve on our industry-leading platform. Our growth mindset, coupled with execution, has allowed Shiftboard to create a revolutionary product.

Shiftboard seeks to make every employee feel appreciated. In addition to a competitive salary and benefits package, we offer an employee stock option program, unlimited paid time off, a business casual dress code, and an open communication policy. We are expanding rapidly and the time to get in on the ground floor is now. If you appreciate being challenged to do your best work, making a difference every day through innovation and commitment to customers, and copious amounts of free food, please take the time to send us your resume!",0.0
3,"Client Success Specialist

Seattle, WA

About Flipt

There are over 2 million listing agents and 5 million home sellers, and there isn't an easy way for them to connect online. Flipt uses data and artificial intelligence to disrupt the Real Estate industry by helping top local real estate agents and homeowners connect.

Job description

Flipt, located in South Lake Union, is looking for an Client Success Specialist to join a growing team.

For this role, we are looking for someone that enjoys being a resource and go-to for our client base, and creating long-lasting client relationships. You will take on the responsibility of all elements of customer happiness post-sale, not only servicing but acting as an advisor to our clients as well. The client success specialist will work directly with the sales team and our clients to onboard, upsell, and build relationships while they use our innovative Real Estate marketing tool.

Responsibilities
Work directly with Sales to coordinate onboarding with new clients and follow up calls
Work with new clients on strategies for using Flipt, how to meet their goals and use the platform to its full capacity.
Identify and quickly resolve client concerns or questions
Act as Subject Matter Expert on our dashboard and how to achieve maximum results
Analyzing trends, forecasting, implementing and streamlining Customer Success processes
Work with Operations, Marketing and Tech to provide the best customer experience
Take a consultative approach with our client base to meet target renewals and upsells.
Requirements:
GED required, BA/BS preferred
Experience with Account Management or Customer Success and a large client base
1-2 years minimum relevant experience
Experience with fast paced, high volume environments
Tech or Real Estate industry experience a plus, but not a must
Excellent verbal & written skills
Strong computer skills
Great attitude, positivity and resilience. Motivated by both individual and team achievements.
Company Perks:
Be apart of a fun, unique team and a company with a big mission
Make an impact and grow!
Team building events and competitions
Competitive salary and equity options
Dog friendly
Work from home options",0.0
4,"Job Description
Crelate, a growing technology company focused in the talent relationship management space, is seeking Customer Success Specialists in our Kirkland, WA office to help with all aspects of expanding our customer base. Duties include fielding support calls, sales, lead qualification, product demonstration, competitive positioning, customer on-boarding and training. We welcome applications from experienced candidates as well as recent college graduates and those of you who are changing careers or re-entering the workforce, especially those with previous recruiting, retail leadership, customer service or sales experience.

Ideal candidates:
Love speaking to people on the phone and learning about their businesses
Love helping people
Are enthusiastic, outgoing and personable
Thrive in a chaotic, work hard, play hard environment
Are happy to pitch in wherever they can,
Can represent us well at networking events and conferences
Familiar with Microsoft Outlook, CRM platforms and social media
Thinks emails are a last resort when trying to connect with someone – face-to-face or phone calls work so much better!
We can offer you:
A ground floor opportunity in a rapidly growing company with experienced technology entrepreneurs who have successfully grown companies (This is an ideal position for someone looking to get started in sales and/or marketing)
Plenty of opportunity to learn as well as apply your talents and previous experience,
A fun and laid-back yet highly demanding work environment,
Awesome coworkers who care about their work and each other
A base + bonus compensation structure rewards you on performance and opportunity for rapid growth.
Flexibility in scheduling your work day (if you are there when your teammates and customers need you, we are there when you need us)
Benefits for full time employees (health, vision, dental, short and long term disability, paid time off) which should grow as we grow.
If you are interested in the position please provide a resume and cover letter demonstrating that:
You have good written communication skills
You actually read our posting and genuinely believe we would be a good fit (and why)
You are excited about this specific opportunity beyond the fact that you want a job.
Level of experience is flexible and is not tied directly to years of experience or college degree. We are looking for team members, not just employees. Passion, integrity and ability are all that matter. If you are fun loving, a hard worker, extroverted, and excited about the opportunity to learn multiple aspects of a technology business with a proven team, we encourage you to apply and we look forward to meeting you!

Please note: This position is not open to remote employees and currently we are not offering relocation. Starting Salary is ~$50k base.",0.0
5,"Job Description
This is a career fast track position and enormous opportunity for the right person. We're an organization where you can flourish and grow a diverse set of new skills quickly. You will be working and sitting with the entire team daily, not some walled off cubicle farm.

SureCritic has raving fans as clients. And with the numbers of clients we have (in the thousands), there’s no shortage of things that need to get done. This position’s primary responsibility will be “problem solver”. As part of the customer support team, you’ll become an expert with our platform including set up, troubleshooting, data feeds and billing issues. You’ll also interface with marketing to develop campaigns designed to support feature utilization and new feature communications to existing clients. This position will work with sales in support of clients set up and support as well. If you are successful, this position will have the opportunity to grow with the organization.

We are a small, high performing team that works closely together. We all pull the wagon together so our next team member should have some of the following qualities:
A positive 'can do' professional attitude
Understand that being friendly and managing customer expectations is half the battle.
You don’t need a technical background, but understand software for business users is a plus. You will need a strong understanding of social platforms and a good curiosity for what makes things tick.
We run a pretty flat organization, so you’ll need to be a self-starter with a strong work ethic.
Crave more responsibility than you are given
While this position is entry-level position is has potential to grow into a greater position for the right person. It's ideally suited for service oriented graduates with a technical or quantitative background who enjoy working in a cutting edge environment. As an entry-level specialist, you will engage with both internal and external customers, work hard, learn a lot, and have fun.

Responsibilities:
Research, reproduce and resolve customer software and technical issues
Handle customer inquiries via phone/chat/email
Facilitate web-based training sessions
Troubleshoot and resolve product issues and concerns
Maintain appropriate case- and customer-related files and records in the support system
Develop and maintain a knowledge base of the evolving products and services
Consistently and accurately record your daily time
· Qualifications:
Previous experience in customer service or other related fields
4 year college degree or equivalent experience.
Ability to prioritize and multitask
Excellent written and verbal communication skills
Some experience with business support tools like MS Office, CRM, Wordpress etc
Be able to be in the Seattle office
Benefits:
Employee sponsored Health Care
Excellent vacation policy",0.0
6,"About Knowledge Anywhere:

We are a long-term partner to leading corporations in learning management, course creation and training optimization. Since 1998, weve created and deployed performance-based learning solutions to make the transfer of knowledge more flexible, effective and engaging across organizations large and small. More than anything, we are passionate about our people and our customers with a commitment to reward hard work and exceptional ideas. We are proud to call companies like Ford, Microsoft, Extended Stay America, Siemens, Synchrony and Dennys our customers - Yet, we are just as proud of the smaller companies in our client roster. Every customer is a partner to us, no matter how large or small.

One of the hallmarks of Knowledge Anywheres culture is the relationships we hold with our customers - Providing superior timely and accurate support is a key to our company standing out as a leader in our industry.

Job Description:

We are looking for a Customer Success Specialist to assist our customers with technical problems when using our products and services. Full-Time or Part-Time candidates (min. 20 hours weekly) will be considered

Customer Success Specialist responsibilities include resolving customer queries, recommending solutions and guiding product users through features and functionalities. This role will also be responsible for working with customers to implement new instances of Learning Management Systems and ensure customer satisfaction. To be successful in this role, you should be an excellent communicator whos able to earn our clients trust. You should also be familiar with help desk software.

Ultimately, you will help maintain our reputation as a company that offers excellent customer support during all sales and after-sales procedures.

Our ideal candidate will be an enthusiastic individual who can listen to our customers issues and offer unique and innovative solutions to each situation. To be successful in this role, the individual we hire will become well-versed in product knowledge in order to provide quick and accurate assistance to our customers.

Bonus: We love to have teammates that can grow within our organization - This position is a great springboard to future opportunities within the company.

Our Ideal Candidate Will...
Be collaborative and a team player to test and launch new features
Bring creative and innovative thinking to their work
Play an integral role in product quality and ensure responsiveness of applications
Must have well-developed verbal and written communication skills.
Will respond to customer complaints, requests and inquiries in a professional and timely manner.
Will have good organizational skills, a general knowledge of Microsoft Office computer programs and be an effective multi-tasker.


Skills and Expertise:
Respond to customer queries in a timely and accurate way, via phone, email or chat
Identify customer needs and help customers use specific features
Analyze and report product malfunctions (for example, by testing different scenarios or impersonating users)
Create and maintain help desk documentation for customer reference
Share feature requests and effective workarounds with team members
Inform customers about new features and functionalities
Follow up with customers to ensure their technical issues are resolved
Gather customer feedback and share with our Product, Sales and Marketing teams
Responsible for maintaining a high level of professionalism with clients and working to establish a positive rapport with every caller
Update customer information in the customer service database during and after each call
Work with the management team to stay updated on product knowledge and be informed of any changes in company policies


Requirements:
Experience as a Customer Success Specialist or similar Customer Support role
Ability to remain professional and courteous with customers at all times
Excellent verbal and written communication skills
Experience using help desk software and remote support tools, Zendesk preferred
Excellent communication and problem-solving skills
Bachelors degree or relevant diploma
Must physically reside in the Puget Sound area and be willing to work from our Kirkland office
Right to work in the U.S. that is not based solely on possession of a student visa or a visa sponsored by an employer.


Nice to have:
Experience with help desk and/or production support is a plus but not a requirement
Experience with automation tools and implementation is a plus but not a requirement
Experience leading QA efforts a plus but not a requirement
Familiarity with the corporate learning industry a plus


Benefits and Perks:

We are a great northwest-based company with true work/life balance, and interesting client-facing projects. Founded in 1998, we are an established yet nimble company, and offer an outstanding benefits package which includes:

Top Reasons to Work at Knowledge Anywhere
We are an established organization.
We are a great northwest-based company with true work/life balance, and interesting client-facing projects. Founded in 1998, we are an established yet nimble company, and offer an outstanding benefits package.
We have great perks.
Free parking, casual dress code, free snacks and beverages in the office, summer Fridays, continuing education reimbursements, fitness reimbursement program, team building events, a peer-to-peer microbonus/recognition program To name a few.
We offer a competitive compensation and benefits package. Medical, dental, and vision insurance paid 75% by Knowledge Anywhere for employee and dependents (unless spouse has benefits through their employer). Some benefits are provided at no cost to employees including short term disability insurance, long term disability insurance, 10 paid holidays per year and paid time off. Other benefits include 401(k) with matching, and medical flexible spending account. Our compensation package includes a base salary and profitability bonus opportunities.
You will make an impact.
Knowledge Anywhere is not a huge organization where you get lost in the shuffle. We are a small, yet mighty company where your efforts will have a real impact.
Our products make a real difference.
Knowledge Anywheres products are used by world-class corporations throughout the world and have a direct impact on the performance and satisfaction of their employees and customers. So, whatever your job at Knowledge Anywhere, you know that providing high-quality products and services is the top priority. And for good reason!
We live our values.
Knowledge Anywhere embodies the values of those who work here. We embrace diversity. We offer a casual atmosphere where people work hard and feel a part of the organization as a whole..
Knowledge Anywhere is an equal opportunity employer.",0.0
7,"About Trupanion

Trupanion is a leading provider of medical insurance for cats and dogs in North America. Our mission is to help the pets we all love receive the veterinary care they need. At Trupanion we offer a collaborative, casual, and pet-friendly environment where everyone is encouraged to be themselves.

We’re all about helping pets. We promote a cohesive and nimble team environment, and we hire, develop and promote team members. We trust each other. We are transparent and honest. We care about one another and want to see our team members succeed, personally and professionally. As our team members gain experience, we strive to promote from within and reduce bureaucracy to allow creative thinking. We’re focused on providing continuous training and support to all team members to encourage long-term happiness and success.

Take a look inside our office and see for yourself:

https://youtu.be/IWpA7WMMgAw

https://www.facebook.com/Trupanion/videos/10155423763702974/

Customer Care / Customer Service Specialist Role

As a Customer Care Specialist, your role is the heart and soul of the Trupanion family, and you appreciate working towards the goal of helping as many people and pets as possible. You provide support to customers who contact us about their pet’s medical insurance. You’re a great listener and an out of the box thinker who communicates effectively over the phone. You’re comfortable navigating escalated customers and sensitive conversations with a focus on providing the best experience. You are empathetic and emotionally resilient.

(Please submit a cover letter with your application!)

Required Experience:
Minimum of 1 year in a customer service position
Must love pets!
Desired Qualifications
Critical thinking/ think outside the box: ability to assess, analyze, and problem solve while handling complex, gray-area situations.
Problem Solving: Clearly define what the problem is, generate a plan for how to solve the problem and then implement it.
Customer service experience: experience providing excellent service in a customer facing position.
Positive attitude: maintain an overall positive outlook while handling difficult situations.
Self-Motivated: internally inspired to do a good job and provide the best service.
Patience/active listener: listens to truly hear their customer and their problems, and able to explain solutions in different ways until the customer understand.
Calm under pressure: remain calm and poised under pressure while focusing on what’s best for the customer.
Organizations skills: able to prioritize their work and understand when it is appropriate to give certain tasks priority over others.
Coachable: someone who is self-aware, can recognize areas of opportunity, and receive feedback to improve their skill set.
Time Management: You are able to plan your time effectively, re-prioritizing if needed, while remaining efficient and productive.
Communication Skills: able to communicate clearly over the phone and in writing.
Tech Savvy: You are able to navigate multiple systems in a timely manner and you are a fast learner with new software.
Ability to multitask: remain engaged and thorough in your work while actively handling two or more tasks.
Emotional intelligence: ability to control outward emotions while handling interpersonal relationships empathetically.
Customer Centric: focused on providing a positive customer experience.
Emotional resilience: be aware of one’s own emotional reactions and adapt to stressful situations or crises without lasting difficulties post interaction.


Benefits and Perks

Along with your hourly pay, we also have amazing benefits! They include:
Unlimited monthly bonus – (which rewards the quality for your work as well as how much work you do)
Full medical, dental and vision benefits at no cost to you
4 weeks PTO
Five week sabbatical after five years of employment
Restricted stock
Free pet health insurance for one pet
Paid time off to volunteer at nonprofit organizations
Free on-site gym
Open, casual, pet-friendly office
Free dog walking services for “approved office pets” during business hours
Company Background

Founded in 2000, Trupanion (NASDAQ: TRUP) offers medical insurance for cats and dogs in the United States, Canada and Puerto Rico through its affiliated entities.

Trupanion is a registered trademark owned by Trupanion, Inc. Underwritten in Canada by Omega General Insurance Company and in the United States by American Pet Insurance Company. 6100 4th Ave S, Seattle, WA 98108. Please visit AmericanPetInsurance.com to review all available pet health insurance products.

Company Values
Passion: In addition to the overall success of Trupanion and our mission, we care intensely about the well-being of cats and dogs.
Trustworthiness: We are honest, reliable and authentic.
Candor: We communicate what the little voice inside our head is saying, in a sincere and helpful way.
Empathy: We create positive outcomes by putting ourselves in others’ shoes and by gaining an understanding of their values, goals and desires.
Communication: We share our information in a way that is easy to understand and retainable.
Cooperation: We know how to balance the need for quality with the need for speed and calculated risk-taking. We are committed to being ego-less, and to working as a team to ensure we are consistently make good decisions.
Judgement: We are not afraid to try new things. Guided by Trupanion’s mission and values, we have the confidence to trust our intuition and do the right thing at all times.
Impact: We deliver outstanding results with resourcefulness, innovation and tenacity.
Curiosity: We actively seek knowledge to improve.",0.0
8,"Sprout Social is looking for an ambitious and tech savvy Customer Success Manager to provide ongoing assistance to Sprout's enterprise customers. You are passionate about customer success, excited about high-volume/high-velocity interactions with customers and you are committed to quickly getting customers the right answers and resources.

Sprout Social's Customer Success Managers are focused on customer loyalty. You are driven to maintain a high satisfaction rate through all interactions with all of your customers. In addition to managing an existing book of business, you will work hard to expand these existing relationships. At times, you will be tapped to help develop and close new business (in partnership with Sprout's Sales Acquisition team).

As a Customer Success Manager at Sprout Social, you are part of a Customer Success team that is focused on cultivating strong relationships and loyalty with names like Evernote, adidas, West Elm and Edelman. Our team prides ourselves by being the primary point of contact for all of our customers and are dedicated to providing personalized experience to each and every customer. As a whole, Sprout supports the social media efforts of over 25,000 brands around the globe.

Responsibilities
Develop and execute customer success plans for assigned enterprise accounts: establish communication with decision makers, manage governance and reporting schedules in order to measure success against customer expectations and drive the renewal process
Implement strategies and processes to maximize customer lifetime value, as well as overall customer satisfaction: occasionally facilitate in-person customer visits; manage on-boarding, success plans, regular account analysis, customer training and the initiation of up-sell and cross-sell opportunities
Act as a liaison between internal teams to ensure customer needs are being met; coordinating amongst sales, marketing, finance, and product teams
Ability to travel to customer locations, conferences, internal meetings, etc.
Perform other related duties such as participating in various side projects, pilot groups or department initiatives
Desired Skills & Experience
3-5 years of experience in a sales or account management role within the technology industry. SaaS sales experience is desirable, specifically with a B2B focus
Bachelor's degree in business, marketing, related field or equivalent work experience
Demonstrated understanding and application of effective selling strategies
Passionate about providing an exemplary customer experience and lasting relationships
Exceptional organizational and communication skills both verbal and written
Outstanding presentation skills
Technical expertise and ability to acquire knowledge of new products
Demonstrated ability to deal with change and be a team player
About Sprout Social
Sprout Social powers open communication between individuals, brands and communities through elegant, sophisticated software. We are relentless about solving hard problems for our customers and committed to both customer and team success.

Team Sprout is a group of very talented, smart and passionate people with broad interests and backgrounds. We believe that true employee engagement cannot happen if you can't bring your whole self to work, so we're committed to building a diverse team, embracing an inclusive culture and investing in equity across our organization. That dedication is core to Sprout. We want all candidates, particularly those coming from traditionally underrepresented groups in the technology industry, to know they are welcome at Sprout.

We're proud to regularly be recognized for software, product and company culture achievements. Our team's shared belief in Sprout's mission promotes a culture of openness, empowerment and fun. We have built a benefits program to match the strength of our team. This program includes:
Insurance and benefit options that are built for both individuals and families, including generous company contributions
Progressive benefit programs, like our parental leave program
High-quality and well-maintained equipment - your computer will never prevent you from doing your best
Beautiful, convenient and state-of-the-art offices in Seattle
Solid programs in some of the staples: transportation, disability and life insurance
Wellness initiatives to ensure both health and financial well-being of our team
More healthy snack options and beverages than you can imagine
Growing corporate social responsibility program that is driven by the involvement and passion of our team members
Sprout Social is proud to be an Equal Opportunity Employer and an Affirmative Action Employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, marital status, order of protection status, citizenship status, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. If you need a reasonable accommodation for any part of the employment process, please

contact us by email at accommodations@sproutsocial.com and let us know the nature of your request and your contact information. Requests for accommodation will be considered on a case-by-case basis. Please note that only inquiries concerning a request for reasonable accommodation will be responded to from this email address.

For more information about our commitment to equal employment opportunity, please

click here (1) Equal Opportunity Employment Poster and (2) Sprout Social's Affirmative Action Statement.

Additionally, Sprout Social participates in the E-Verify program in certain locations, as required by law. We value the things that make us different and want to see how you can make our team better!",0.0
9,"Swisslog is a leading supplier of automation and software solutions for material transport and medication management that increases hospital efficiency and enhances the patient experience. We offer total system design, manufacturing, installation and customer support to provide an integrated solution that enhances information access, cost efficiency, error reduction and most importantly, patient safety.

The Customer Success Manager (CSM) will work closely with our Kirkland, Washington based Analytics team, and will be involved in the development of our Success Program. Pharmacy domain knowledge and healthcare project experience is essential for success in this role. The CSM will provide guidance and consultation to our customers to ensure the successful adoption, expansion and renewal of our products and solutions. Furthermore, the CSM will have a clear understanding of our customers’ strategy and goals, and guide the customer and the internal organization to achieve them.
Your Tasks:
Develop a deep understanding of our customers’ business and goals, and make recommendations to meet those goals using our solutions.
Establish recurring meetings with customers, and report on success criteria and KPI.
Be the internal customer advocate to ensure the business is doing everything possible to deliver best in class customer service and that the customer is getting the most from their investments in Swisslog solutions.
Identify opportunities to offer additional services that will help the customer meet their success criteria, and provide those recommendations to solutions management.
Analyze and monitor adoption and product utilization/consumption, and identify at-risk clients based on trending metrics.
Develop relationships with key customer stakeholders to ensure long term success and help to create a Swisslog customer for life.
Become a trusted resource and help the customer navigate the organization.
Act as the voice of the customer, collect feature requests and guide the creation of business justifications to prioritize requests on the product roadmap.
Continuously demonstrate and communicate ROI and/or value to the customer.
Collaborate with project realization and product teams during pilot programs to define success criteria, and define a playbook for long-term success.
Assist internal teams with the execution of pilot and pre-release programs when required.
Collaborate with Sales and Customer Care teams as needed, to identify opportunities and to assist with at-risk clients.
As the customers advocate, guide and assist the project realization and customer care teams as needed.
Performs other duties, as assigned.
Your Profile:
Minimum Qualifications:
Experience in the Healthcare space – specifically in healthcare automation, solutions, and/or supply chain
7+ years of account management, customer support, or client services experience, ideally with a SaaS based enterprise solution
Proven track record of driving adoption and expansion in enterprise customer accounts
Experience navigating and understanding enterprise customers’ priorities in a B2B SaaS environment
Ability to “Keep it Simple, Get it Done” with your customers’ experience as a top priority
Zest for learning new technologies and technical aptitude
Exceptional organization, communication and presentation skills
Strong business acumen and service orientation.
Experience at working both independently and in a team-oriented, collaborative environment is essential.
Demonstrated experience to seamlessly transition between conversations with C-Level execs, technical leadership and project manager level conversations.
Experience in interpretation of analytics used to “prove” the value
Bachelor’s degree or equivalent work experience
Desirable but not Essential:
Product Management experience, PMP certification, experience running Pilot programs, experience with Customer Success organization
High preference for those with experience in Pharmacy Automation and Enterprise solutions
We Offer:
Swisslog offers challenging work in a globally networked environment as well as competitive base salary, comprehensive benefits including health/dental and above-market 401K!

OUR SOLUTIONS DELIVER RESULTS. OUR EMPLOYEES DELIVER SOLUTIONS.
Swisslog is an EEO Employer, Females/Minority/Veterans/Disabled/Sexual Orientation/Gender Identity

Swisslog’s FMLA policy can be found at:
http://www.dol.gov/whd/regs/compliance/posters/fmlaen.pdf

Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. If you require reasonable accommodation to complete the application or to perform your job, please contact Human Resources at jobs.healthcare.us@swisslog.com.

Contact
Andy Levine
Talent Acquisition Manager",0.0
