,jobs
0,"Job Description
The Amazon Demand Forecasting team seeks a Data Scientist with strong analytical and communication skills to join our team. We develop sophisticated algorithms that involve learning from large amounts of data, such as prices, promotions, similar products, and a product’s attributes, in order to forecast the demand of over 190 million products world-wide. These forecasts are used to automatically order more than $200 million worth of inventory weekly, establish labor plans for tens of thousands of employees, and predict the company’s financial performance. The work is complex and important to Amazon. With better forecasts we drive down supply chain costs, enabling the offer of lower prices and better in-stock selection for our customers.

In a typical day, you will work closely with talented machine learning scientists, statisticians, software engineers, and business groups. Your work will include cutting edge technologies that enable implementation of sophisticated models on big data. As a successful data scientist in our Demand Forecasting team, you are an analytical problem solver who enjoys diving into data, is excited about investigations and algorithms, can multi-task, and can credibly interface between technical teams and business stakeholders. Your analytical abilities, business understanding, and technical savvy will be used to identify specific and actionable opportunities to solve existing business problems in Demand Forecasting, through collaboration with engineering, research, and business teams. Your expertise in synthesizing and communicating insights and recommendations to audiences of varying levels of technical sophistication will enable you to answer specific business questions and innovate for the future.
Major responsibilities include:

· Translating Demand Forecasting business questions and concerns into specific analytical questions that can be answered with available data using statistical and machine learning methods; working with engineers to produce the required data when it is not available

· Providing feedback to our science and engineering teams on the applicability of technical solutions from the business perspective

· Presenting critical data in a format that is immediately useful to answer questions about the inputs and outputs of Demand Forecasting systems and improving their performance

· Communicating verbally and in writing to business customers with various levels of technical knowledge, educating them about our systems, as well as sharing insights and recommendations

· Improving upon existing Demand Forecasting statistical or machine learning methodologies by developing new data sources, testing model enhancements, running computational experiments, and fine-tuning model parameters for new forecasting models

· Supporting decision making by providing requirements to develop analytic capabilities, platforms, pipelines and metrics then using them to analyze trends and find root causes of forecast inaccuracy

· Formalizing assumptions about how demand forecasts are expected to behave, creating definitions of outliers, developing methods to systematically identify these outliers, and explaining why they are reasonable or identifying fixes for them

· Utilizing code (Python, R, Scala, etc.) for analyzing data and building statistical and machine learning models and algorithms

Amazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation


Basic Qualifications
· Bachelor’s or Master’s degree in a quantitative field such as Statistics, Applied Mathematics, Physics, Engineering, Computer Science, or Economics

· 2+ years of relevant working experience in an analytical role involving data extraction, analysis, and communication

· 2+ years of experience with data querying languages (e.g. SQL, Hadoop/Hive) and statistical/mathematical software (e.g. R, Weka, Matlab, Stata)
Preferred Qualifications
· Experience processing, filtering, and presenting large quantities (Millions to Billions of rows) of data

· Superior verbal and written communication skills with the ability to effectively advocate technical solutions to scientists, engineering teams and business audiences

· Proven ability to convey rigorous technical concepts and considerations to non-experts

· Natural curiosity and desire to learn

· Fluency in a scripting or computing language (e.g. Python, Scala, C++, Java, etc.)

· Depth and breadth in quantitative knowledge. Excellent quantitative modeling, statistical analysis skills and problem-solving skills. Sophisticated user of statistical tools.

· Combination of deep technical skills and business savvy to interface with all levels and disciplines within our and our customer’s organizations

· Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment

· Experience in forecasting and time series is a plus


Apply Now at Amazon"
1,"Data Scientist

30-Oct-2018

Position Summary
We are seeking the experienced and passionate candidate who will be the next member of our team in Seattle, WA. Demonstrating and communicating a passion for building the data foundation, products and capabilities that drive business growth, the Expert Data Scientist will work at the forefront of technology and business via our MSP Catalyst product suites.

Catalyst is the E2E / enterprise grade, cloud-based, Big Data analytics platform that hosts all the Marketing, Sales and Pricing applications developed and commercialized by BCG. These products are critical to our growth plan, scalability, and to the success of our project teams. BCG has made multimillion-dollar investments to create Flagship products that complement our consulting offerings.

Job ID
5621BR

Company Information
The Boston Consulting Group (BCG) is a global management consulting firm and the world’s leading advisor on business strategy. We partner with clients from the private, public, and not-for-profit sectors in all regions to identify their highest value opportunities, address their most critical challenges, and transform their enterprises. BCG was founded in 1963 and is a privately owned firm with more than 14,000 employees across 85 offices in 48 countries. Integrity, respect for the individual, delivering value, and making an impact on society are just some of BCG's core values. BCG's commitment to both our clients' success and our own standards is what sets BCG apart as a world-class professional services organization. Join BCG - start your career at a company that is consistently ranked as the leader in its field, and is acknowledged as one of the best places to work.

Travel Required
Yes

Employee Type
Regular

Basic Job Requirements
The Expert Data Scientist needs…
8+ years of relevant work experience, including expertise in recommendation systems, personalization, collaborative filtering, and content-based filtering
Knowledge of Machine Learning, NLP, Graph Theory, and AI
Fluency in one or more programming languages (Python, Java, R, etc.)
The ability to deliver data science components that are part of successful commercial products
Readiness to collaborate with engineering teams to develop prototypes and software products
The ability to lead and manage a team
The ability to travel, depending on project requirements
A MS degree in Computer Science, Statistics, Applied Mathematics, or related areas preferred
Our ideal candidate also knows their way around…
Big Data and Fast Data (i.e., real time streaming)
Distributed systems (Hadoop/MapReduce, Spark, streaming data processing, cloud architecture, etc.)
SQL or other querying languages
Dashboard and visualization software (Tableau, D3, Mixpanel, Flurry, Google Analytics, etc.)
Key Competencies
Proactive problem solving, analytical skills, time management, and decision making
Ability to lead and mentor on- / offshore development teams using Agile software delivery processes
Excellent interpersonal and communication skills - able to adjust approach to effectively interact at all organizational and technical levels
Fluent written and spoken English (other languages are desirable)
Ability and willingness to give and receive honest, balanced feedback
Focus on providing excellent customer service, meeting user needs, demonstrating competence and character, and inspiring trust
Job Type
Full time

Non-discrimination Statement
The Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under federal, state or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws. In addition, as a federal government contractor, BCG maintains an affirmative action program which furthers its commitment and complies with recordkeeping and reporting requirements under certain federal civil rights laws and regulations.BCG is an E-Verify Employer. Click here for more information on E-Verify. VEVRAA Federal Contractor

Country
United States

City/Town
Seattle

Travel Percent
20

Function
Product Management & Business Building

Job Responsibilities
Our Next Expert Data Scientist will…
Build innovative data products (including real-time services, such as personalization and commerce graphing using Big Data platforms with real-time data ingestion and processing)
Execute descriptive analyses, ranging from identifying product opportunities to understanding user behavior
Cultivate strong collaborative relationships with product, engineering, and senior stakeholders
Share technical solutions and product ideas through design review, code reviews, and tech talks
Job Title
Expert Data Scientist"
2,"We are looking for talented Data Scientists to join the Machine Learning & Artificial Intelligence (ML/AI) team. You are a talented data scientist that is tired of applying basic statistical tools to yet another set of KPI’s. You are passionate about deriving creative solutions from imagery using cutting edge computer vision techniques and big data pipelines. You are excited about the analytical potential and challenges associated with processing petabytes of time-series imagery. You are intrigued by being a part of a collaborative team, spearheading ML/AI applications for realizing unprecedented, scalable products.

PRIMARY RESPONSIBLITIES
Help to aggregate, clean, and organize data for machine learning applications
Collaborate with scientists and engineers to develop/scale Python and similar algorithms to cloud environments
Process raster and vector data using Python and OpenCV-like libraries for ingestion into neural nets
Work with the team to develop new techniques and capabilities using machine learning and neural networks
Research and experiment new technologies that can improve algorithm applications
Python, R or similar language
Experience with Amazon AWS or comparable cloud processing
Experience with Linux-based command line environments
SQL knowledge
Experience with Neural Networks & predictive analytics (class projects are fine)
Ability to work independently & excellent communication skills
Minimum BA or BS in computer science, engineering or related field or equivalent work experience
WHAT DOESN’T DESCRIBE YOU:
A desire to only work on things you are most familiar with
Fear of dynamically changing, uncertain, or unestablished requirements
A desire for explicit tasking on a daily basis
EagleView® Technologies offers competitive pay and robust benefit plans along with the opportunity to grow your career in a fast-paced, fun and casual environment.

EagleView and its subsidiaries are committed to leveraging the talent of a diverse workforce to create great opportunities for our business and our people. EOE/AA. Minority/Female/Disability/Veteran."
3,"Our Data Science team are central to our global strategy. Their work enables our clients to quickly create and deploy solutions that drive innovation, optimise operations, offer insight and drive transformation. Ultimately the team are responsible for enabling our client’s competitiveness by accelerating ROI from any data science initiative with products that transform data into insight.

Operating across sectors and with a high degree independence our data scientists have helped improve performance for F1 teams, built solutions for reducing fraud in financial trading, worked with NASA medical teams, and initiated changes in California traffic laws.

We are looking for a Senior Data Scientist to join our team. You are seeking an opportunity to deliver thought leadership, to challenge and develop both your knowledge as well as our client’s data science capabilities. You will join a team of highly collaborative individuals as a senior team member and play a key role in developing our capability. You will lead client conversations, represent TIBCO at industry events and draw together our TIBCO user community. You will lead technical projects developing analytics deliverables using methods from data mining, machine learning, and statistical modeling. The role can be based in San Francisco or other locations in the western United States.
Customer Engagement through presales support and post-sales consulting projects.
Collaborate across stakeholder team on specific industry knowledge, analytics use cases and customer stories.
Apply techniques such as machine learning, statistical analysis and predictive modeling to deliver business value.
Create re-­usable data models, workflows and test suites in order to streamline project delivery.
Product; providing input into product management and engineering for product roadmap.
Innovation; innovate in the area of application and deployment of machine learning
Tool Kit Development; creating demos and templates.
Technical Marketing; creating white papers, blogs and content for the TIBCO user community.
Represent the team as a speaker or instructor in industry events and external conferences."
4,"Expedia

Who we are

eCP Expedia eCommerce Platform. The eCP organization was built to power the Expedia, Inc.s travel revolution with a premier platform of eCommerce technologies and services operating at global scale. We bring product, technology, and operations together to enable our business to grow and drive innovation.

PI Platform Intelligence. Within eCP, PI is a new team set to deliver Artificial Intelligence (AI) / Machine Learning (ML) Platform, advanced automation and intelligent solutions. We work in start-up fashion, think deep, and code fast. We innovate incrementally, yet relentlessly. PI collaborates with many teams to automate and build intelligence into our travel platforms, through Standards, Open Source, and expandable technology solutions. Our goal is to improve eCommerce platform availability, and provide the best travel experience through using AI/ML.

Job description

Are you passionate about the technology needed to drive a multi-billion dollar business? Do you love building creative, highly-scalable and expansible AI frameworks and solutions? Is working on the next gen intelligent travel platforms to revolutionize the travel experience using AI/ML challenging and attractive to you?

As a Data Scientist within PI, you will work with a dynamic teams of product managers and engineers across multiple organizations to deliver sophisticated, next-gen AI Machine Learning solutions. Your vigorous STEM training and problem-solving skills are particularly important for this job function. You will contribute and make our young team become the industry-leading center of excellence for eCommerce AI and Automation.

Together, we will forge our culture, based on respect, inclusion, and transparency, and we will achieve technical excellence in support of our business.

Responsibilities
You will apply solid coding skills, strong analytical and innovative thinking, AI/ML experience, quickly learn and turn new ideas into working solutions, drive proof of concepts and pilots to accelerate the on boarding of new technologies and solutions.
You will partner with multi-teams for end-to-end transactions, booking, payment, security, operation, data services engineering teams to implement platform intelligence; provide the smart experience for our global travelers; and AI powered supply/demand engine.
You will grow professionally; expand your skills and curiosity; be creative; also help others become their best.
Skills/requirements
Ph.D. in Computer Science or a related quantitative science and engineering fields, such as Artificial Intelligence, Mathematics, Operation Research, Statistics, Electrical Engineering, Engineering Science, System Engineering, Physics, Bioengineering and Biomedical Science.
Understand the concepts and steps involved when working real world big data, from domain specific problem understanding, data preparation, travel related data processing, data integration, data structures for machine learning, data pipelining, data modeling, and AI/ML algorithms; strong software engineering and data science knowledge and skills.
Strong knowledge and experience in database technologies, including SQL and other relational database, non-SQL, and Time Series database.
Knowledge on hands on practice in Java, Python, R, XML/JSON.
Solid knowledge of Machine Learning techniques such as Bayesian methods, clustering, decision trees, random forests, NLP, etc., excellent grasp of statistical concepts and methods.
Understanding of distributed file systems, scalable datastores, distributed computing and related technologies (Spark, Hadoop, etc.); implementation experience of MapReduce techniques, in-memory data processing, etc.
Passion in solving problems and finding patterns and insights within structured and unstructured data.
Pluses
Knowledge and hands-on practice with Neural Networks.
Good industrial internship or academic experience in Data Science.
*LI-PP1

Expedia is committed to creating an inclusive work environment with a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization."
5,"Postmates runs one of the largest marketplaces in the country, connecting consumers, merchants, and Postmates in real-time. Building high powered intelligence atop our large-scale dataset is a serious challenge and we are looking for candidates who are ready to dig in. Postmates isn’t just another ad platform or mobile app for delivering static user generated content: We have real customers paying real money for a real service, all under an hour.
As a Risk Data Scientist, you will help pioneer the future of on-demand fraud prevention and play a key part in Postmates’ risk reduction strategy. You will use your full toolkit -- statistical modeling, machine learning, data mining, software engineering -- to understand the behavior and properties of successful customers and deliveries while detecting and measuring the outliers. You’ll help safeguard the platform from financial fraud, evaluating risk as it happens and working with operations to head it off at the pass. You’ll be resilient and flexible as new fraud schemes challenge your limits.
REQUIREMENTS
2-7 years of applied experience applying theoretical ideas in machine learning, graph theory and statistics to solve designing, delivering, and scaling production fraud detection at scale models.
Extensive experience with data tools -- Python (Pandas, scipy, numpy, scikitlearn etc), R, SQL, Octave.
Ability to own your modeling work from model development all the way to production deployment and after.
Ability to approach questions with a scientific rigor, but can execute pragmatically -- the simplest solution may be the best at times.
A strong communicator. Explaining complex technical concepts to product managers, support, and other engineers shouldn’t be a problem for you.
You are scrappy. You understand the challenges, nuances, and details of working with messy data and if the data doesn’t exist, you go build it.
You love it when things work, you understand that things break, and when things do fail, you dive in to understand the root causes of failure and fix whatever needs work.
BONUS POINTS
2+ years experience building predictive fraud models in the on-demand or digital payments space
A Masters degree (or higher) in a technical field (Statistics, Operations Research, Math, Physics, Engineering …)
Background in Python and previous software engineering experience
A solid math and statistics background
Experience in small start-up environment
BENEFITS
Competitive salary
Generous stock option plan
Medical, dental and vision insurance
Snack filled kitchen
Awesome work environment at a company with a huge vision
Killer office locations in SF and Seattle"
6,"The ExtraHop platform is a novel approach to processing vast amounts of wire data in real-time. Want to join a collaborative team that builds solutions which provide deep performance insights, behavioral security analyses, and drive business analytics? Keep reading.

Do you like open source tools? Do you like assembling arrays of the latest and greatest technologies in networking/security and performance bench marking to solve difficult problems? Do you like to push systems to their limits to improve their quality? We are looking for people who have passion and expertise in these areas and want to aid our development effort to build one of the most performance and secure systems in the industry.

Duties & Responsibilities
Work closely with engineers throughout the development cycle to reproduce the small and large customer environments under which the ExtraHop system is run.
Employ a mix of manual and automated data analysis techniques to collect data and analyze the operational environment of the ExtraHop system.
Generate gigabits of network traffic on over-the-counter Intel hardware with OSS systems and networking tools for performance benchmarking of the ExtraHop system.
Install, run, and benchmark emerging products and tools in a lab environment to provide product development and product management strategic data.
Required Skills & Experience
Bachelors degree or equivalent experience in computer science, engineering, or information technology
Experience in a Unix-based environment
Solid knowledge of Linux toolchain, Python, JavaScript, and shell scripting
Knowledge of building scalable and high-performance systems
Understanding of various product-development life cycles
Desired Skills & Experience
Solid understanding of the OSI model and excellent working knowledge of the key protocols from Layer 2 through Layer 7 including ARP, IP, TCP, UDP, and HTTP
TCP/IP networking.
Experience using Linux networking tools such as tcpdump, tcpreplay, pcap tools, apache bench, etc.
Experience using and managing virtual infrastructure for VMware, Hyper-V, Xen, and KVM. Experience with OpenStack and related SDN framework a plus.
Familiarity with embedded systems or other syste-ms-level development.
Experience standing up systems using Linux containers, Docker, Puppet, Chef, etc
About ExtraHop

At ExtraHop, we create great products because we give talented employees the freedom to be intellectually curious and creative. We seek a diversity of perspectives and foster employee quirkiness and spunk to help drive innovation. Every ExtraHop employee knows that were all in this together and that work is an important part of life so it should be fun. A sense of humor is required here, seriously!

We are the global leader in real-time wire data analytics, a novel approach to IT Operational Analytics. Our market opportunity is greater than $15B and our solutions span all industries. Pretty neat, huh? If you want to join a fun team that produces award-winning products that provide tremendous business value and delight customers, then ExtraHop is the company for you!

Founded by engineers, ExtraHop is a Seattle-based technology company that delivers elegant solutions for the tech industrys most challenging problems.

As a privately held fast-growing technology leader in the $20B IT operations management space, ExtraHop Networks is positioned to be the next great systems company. We are known as innovators who take a smart, creative approach to solving problems. Our ExtraHop team and product line have received many awards, including wins in multiple categories of Best of Interop, a Gold Medal prize in Puget Sound Business Journals annual list of Washingtons Best Workplaces, and several Gold Stevie American Business Awards.

ExtraHop is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, disability, military status, or national origin or any other characteristic protected under federal, state, or applicable local law."
7,"Job Summary:

In the Scientist I role, you will have a key role in the development of Hyb & Seq, a novel single-molecule hybridization-based next generation (NGS) technology. The Scientist will interact and coordinate with a highly interdisciplinary team of technologists to develop and commercialize this technology, its workflow(s) and its consumable reagents. You must be prepared to be a hands-on experimentalist in wet-lab driven research to create innovative solutions to development hurdles. You must have strong analytical and communication skills and ideally will have demonstrable experience in next generation sequencing and genomics research.

Essential Duties:
Apply advanced and expert scientific knowledge to NGS assay and technology development
Advance sample preparation, quality and input requirements and assay workflows
Efficiently conceive, design and carry-out hypothesis driven feasibility experiments, understanding both theoretical and practical aspects of the experimental design
Conduct wet-bench experimentation and subsequent data analysis/interpretation activities
Work interactively with biophysicists, nucleic-acid chemists, fluorescence imaging specialists, bioinformaticians, and hardware and software engineers, to develop a complete sample-to-answer NGS system
Design and implement studies to test and refine both newly developed and/or existing genomics analysis tools and pipelines
Requirements:
Ph.D. in Life/Chemical/Physical/Engineering Sciences
Direct experience working on NGS technology strongly preferred
Extensive hands-on, state-of-the-art molecular biology experience
Proficiency at bench work; position requires ~75% time at the bench
Able to develop biological/chemical reagents and methods as needed
Able to identify and evaluate commercial technologies to determine their appropriateness and usefulness in technology innovation/development
Preferences for experience working in an ISO certified or QSR certified facility and experience developing products for the life sciences and/or molecular diagnostics industries
Strong analytical and organizational skills exemplified by clear oral presentations and written documentation of technical data and analyses
Other:
See benefits at NanoString
NanoString is an EOE
NanoString participates in E-Verify. E-Verify is a web-based system that allows an employer to determine an employee's eligibility to work in the US using information reported on an employee's Form I-9. The E-Verify system confirms eligibility with both the Social Security Administration (SSA) and Department of Homeland Security (DHS). For more information, please go to the USCIS E-Verify website.
#LI-MS1"
8,"Job Description:

The Enterprise Data Solutions (EDS) IT team is looking for a technology Data Scientist to deliver advanced analytics. This role is focused on Advanced Analytics, Artificial Intelligence & data science delivery for Cognitive Services across all T-Mobile business functions. Sr. Data Scientist will partner with numerous business teams to collaborate, test hypothesis, build proof of concepts and turn data into actionable insights, driving ROI for T-Mobile through identification of value drivers. This role in Cognitive Intelligence & Platform Services group within EDS, will drive adoption of emerging advanced analytics tools, IOT, methods to deliver Cognitive Intelligence/Analytics services. The Senior Data Scientist is a knowledgeable leader, ability to lead partners, passionate about data engineering, optimizing analytics, Machine learning, Artificial Intelligence sharing knowledge with extended community. Sr. Data Scientist will support the analytics vision enabling Business partners adopt data science, machine learning to create value for T-Mobile and our customers. In addition this role will work closely with Machine Learning Engineers to create AI driven products.

Core Competencies
Requires competency in customer focus, collaboration, innovation, strategic thinking, relationship building & influencing, inspirational leadership.

Responsibilities:
Data Exploration: studying new data sources and finding Insights and correlation on how it can be used in the day to day business needs. It also involves providing suggestion on how to utilize the data and how to correlate with different data sources.
Proof of Concept and Prototyping: performing proof of concept with a sample set of data. Once a proof of concept is successful, use learnings to drive consensus for larger project.
Business & Data Analytics: studying the available data, performing machine learning algorithms and post processing, to come up with meaningful insights for identification of value drivers to improve business offering. By using customer sat scores, customer activities, digital footprint analysis, social & media analysis.
Data Science & Statistical Modeling: This involves extracting and cleansing data from multiple sources, In-depth analysis and data visualization using SQL, R, Python, Spark, etc. (not exhaustive) to answer business questions, accurate data and findings per the agreed upon metric definitions, including SQL & relational data models along with basic data load capabilities.
Analyzes an organization's big data to discover actionable trends that lead to business results. Look at what questions business people need to ask to remain competitive.
Understand organization data
Ability to correctly frame a problem and come up with a hypothesis
Ability to recognize appropriate analytics technique to use for the data and business problem
Build and diagnose models and interpret analytic insights for business users
Generates highly novel ideas (theoretical or experimental) in a specific engineering or scientific discipline and/or invents/designs complex products and/or processes.
May be involved in engineering these ideas to an advanced state of feasibility by evaluating ideas and plans and participating in their implementation.
Disseminates the results of such activities internally and externally, through publications, patent disclosures, seminar participation, internal documentation, etc. Represents T-Mobile at professional meetings, in professional societies and universities.
Functions as an internal consultant in the areas of professional expertise.
Direct technically, and/or manage, within the broad mission of the group, activities of other research staff members and technical support persons.
Cognitive services:
Democratize AI by deploying AI Solutions easily for common business scenarios
Leverage Powerful prebuilt AI models exposed as API services
Simple REST APIs with .NET, Java, Python, Node SDKs
Train in the cloud and deploy anywhere model
Text Analytics and NLP services to the broader T-Mobile functional areas
Innovation: Contributes designs to implement new ideas improving existing or new system/process/service directly supporting Business value drivers. Understands and can apply new industry perspectives to our existing business model. Seeks opportunities to improve models, processes or product by reducing cost and improving efficiency.
Technology Strategy: Contributes to new and existing technology options that support business goals. Evaluates technologies and proposes technology position for the company.
Qualifications:

Minimum Required
3+ Years of experience (with PhD) in Data Science & Statistics/Mathematics or related field
5+ Years of experience (with Masters degree) in Data Science & Statistics/Mathematics or related field
7+ Years of experience (with Bachelors degree) in Data Science & Statistics/Mathematics or related field
Strong proficiency in Machine Learning, Scripting, and Statistical & Reporting tools (Python, R, SAS, SQL, etc.).
Thorough knowledge of TensorFlow, Keras, Deep Learning & Neural Networks and their applicability. Strong experience working on Cloud (AWS, Azure.) based analytics platform.
Willingness to extend beyond core data science work to perform -data wrangling, data prep and data transfers, occasionally
Focus: Able to communicate goals in support of the business' mission. Ability to define a work scope, plan of action independently, but aligned to organization goals
Drive: Self-motivated and able to work well under pressure. Consistently invest in driving adoption of advanced analytics.
Teamwork: Ability and desire to work cooperatively with others. Develop, maintain, and strengthen partnerships that can provide information, assistance, and support.
Communication: The ability to ensure that information is passed on to others who should be kept informed. Express self, clearly in conversations and interactions with others. Excellent business and technical writing skills, with ability to present to audiences of differing experiences
Customer Focus: demonstrate empathy, concern and meet customers needs with context to their challenge/opportunity
Analytical: tackle a problem by using a logical, systematic, sequential approach.
Technical Expertise: The ability to demonstrate depth of knowledge and skill in a technical area.
Forward Thinking: The ability to anticipate the implications and consequences of situations and take appropriate action to be prepared for possible contingencies.
Influencing Others: The ability to gain others' support for ideas, proposals, projects, and solutions.
Desired
Two years of experience in the telecom industry for basic understanding of network KPIs
Computer programming background in addition to the Data science skills
Education
Minimum Required
Bachelors degree in Engineering or Computer Science or Statistics or related field
Preferred: PhD or Masters/Advanced degree in Quantitative Discipline (Math, Statistics, Economics, Computer Science, Engineering, etc.)
Minimum Qualifications:
LI-CS1
Company Profile:

As Americas Un-carrier, T-Mobile US, Inc. (NASDAQ: TMUS) is redefining the way consumers and businesses buy wireless services through leading product and service innovation. The companys advanced nationwide 4G and 4G LTE network delivers outstanding wireless experiences for customers who are unwilling to compromise on quality and value. Based in Bellevue, Washington, T-Mobile US provides services through its subsidiaries and operates its flagship brands, T-Mobile and MetroPCS. For more information, please visit http://www.t-mobile.com

EOE Statement:

We Take Equal Opportunity Seriously - By Choice

T-Mobile USA, Inc. is an Equal Opportunity Employer. All decisions concerning the employment relationship will be made without regard to age, race, ethnicity, color, religion, creed, sex, sexual orientation, gender identity or expression, national origin, marital status, citizenship status, veteran status, the presence of any physical or mental disability, or any other status or characteristic protected by federal, state, or local law. Discrimination or harassment based upon any of these factors is wholly inconsistent with our Company values and will not be tolerated. Furthermore, such discrimination or harassment may violate federal, state, or local law."
9,"Job Description
Are you interested in creating an impact in sustainability at a scale that few will ever experience? We're looking for an experienced, self-driven, analytical, and creative Data Scientist to drive state-of-the-art solutions for WW Packaging team.
With over a billion unique products at Amazon, any advancement in sustainable packaging happens at a big data scale! If you are excited by the prospect of analyzing and modeling terabytes of data to solve real world problems, owning end-to-end business problems and directly impact the profitability of the company, then this role is for you.
This position requires work experience in statistical analysis and machine learning, the ability to think big and dive deep, and embody a unique mix of thought leadership and technical acumen. This candidate will possess excellent communication, negotiation and influencing skills to drive consensus across multiple stakeholders. In addition, this opportunity requires excellent troubleshooting, problem solving, and the ability to succeed in a fast-paced, technical environment. The ability to work independently and deal with an ambiguous environment is a must. Ownership of work is extremely important, and candidates should have a proven record of driving projects and strategic initiatives to their completion.
The ideal candidate is motivated, agile, with strong time management and project management skills, and is technical and analytical. The candidate will also have a passion for helping us to identify and promote sustainability issues and opportunities at Amazon.



Major responsibilities
· Use statistical and machine learning techniques to create scalable solutions for business problems
· Analyze and extract relevant information from large amounts of Amazon’s historical business data to help automate and optimize key processes
· Design, development and evaluation of highly innovative models for predictive learning
· Work closely with software engineering teams to drive real-time model implementations and new feature creations
· Work closely with operations staff to optimize various business operations,
· Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementation
· Research and implement novel machine learning and statistical/quality control approaches
Basic Qualifications
PhD in highly quantitative field (CS/ML, Statistics, Mathematics, Economics, Physics, etc)
2+ years of industrial or research experience in predictive modeling, data science, and machine learning
Exceptional interpersonal and technical communication skills, both written and verbal
Strong structured thinking and problem solving ability
Solid understand of fundamental statistics
Experience in using Python, R, SAS, Matlab, Spark, or other statistical/machine learning software
Passion for sustainabilit
Preferred Qualifications
5+ years of industrial or research experience in predictive modeling, data science, and machine learning
Experience with SQL or NoSQL databases.
Experience with AWS features (S3, Redshift) is a plus.
Experience in mentoring team members, and guiding them on machine learning and data modeling application

Amazon is an Equal Opportunity-Affirmative Action Employer - Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation


Apply Now at Amazon"
